"カナン三姉妹仲間" -> "Canaan's three sister fellows"
"【ドローシー】" -> "【Dorothy】"
"戦争が終わってしまったわね……" -> "The war has ended ... ..."
"傭兵の私達は、仕事を失ってしまったわ。" -> "Mercenaries we have lost our job."
"【ラフィ】" -> "【Lafi】"
"ひもじいですね……" -> "It is very funny ..."
"値切り" -> "Price cut"
"【ディーナ】" -> "【Diana】"
"そこの勇者、私達を雇わない？" -> "A brave there, do not you hire us?"
"今なら3人セットで10000Gで仲間になるわよ。" -> "Now it's going to be a group of three at 10000 G."
"でカナン三姉妹を仲間にしますか？" -> "Would you like to make three Canaan sisters together?"
"仲間にする" -> "To make friends"
"仲間にしない" -> "Do not companion"
"仲間にする" -> "To make friends"
"【ディーナ】" -> "【Diana】"
"持ち金が足りないようね……" -> "You probably do not have enough money ..."
"仲間にしない" -> "Do not companion"
"【ディーナ】" -> "【Diana】"
"……ちょっと待ちなさい。" -> "Wait a moment."
"今なら特別に、小さなメダルもセットでつけるわよ。" -> "Especially now, I can put a small medal as a set."
"今なら小さなメダルもおまけについてくる！" -> "Now a small medal will come with the bonus!"
"でカナン三姉妹を仲間にしますか？" -> "Would you like to make three Canaan sisters together?"
"仲間にする" -> "To make friends"
"仲間にしない" -> "Do not companion"
"仲間にする" -> "To make friends"
"【ディーナ】" -> "【Diana】"
"持ち金が足りないようね……" -> "You probably do not have enough money ..."
"仲間にしない" -> "Do not companion"
"値切り" -> "Price cut"
"【ディーナ】" -> "【Diana】"
"……今なら、特別料金5000G！" -> "...... Now, special charge 5000G!"
"人セット、小さなメダルもついてこの価格！" -> "People set, this medley price is also a small medal!"
"仲間にする" -> "To make friends"
"仲間にしない" -> "Do not companion"
"仲間にする" -> "To make friends"
"【ディーナ】" -> "【Diana】"
"持ち金が足りないようね……" -> "You probably do not have enough money ..."
"仲間にしない" -> "Do not companion"
"【ディーナ】" -> "【Diana】"
"私達に、首をくくれと言うの……！？" -> "Tell us to break your head ...! What?"
"これ以上は、譲れないわ……" -> "I can not give up any more ..."
