"混沌戦闘後処理" -> "After chaotic combat processing"
"レアポイントが1アップ！" -> "Rare points up 1!"
"（現在のレアポイント：" -> "(Current rare point:"
"）" -> ")"
"レアポイントが5アップ！" -> "Rare points are up 5!"
"（現在のレアポイント：" -> "(Current rare point:"
"）" -> ")"
"レアポイントが5アップ！" -> "Rare points are up 5!"
"（現在のレアポイント：" -> "(Current rare point:"
"）" -> ")"
"レアポイントが10アップ！" -> "Rare points up 10!"
"（現在のレアポイント：" -> "(Current rare point:"
"）" -> ")"
"レアポイントが10アップ！" -> "Rare points up 10!"
"（現在のレアポイント：" -> "(Current rare point:"
"）" -> ")"
"レアポイントが10アップ！" -> "Rare points up 10!"
"（現在のレアポイント：" -> "(Current rare point:"
"）" -> ")"
