"会話：襖" -> "Conversation: sliding door"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【襖】" -> "【Fuji】"
"ふわふわ、ひらり……" -> "Fluffy, Hirari ... ..."
"【襖】" -> "【Fuji】"
"一反木綿は友達だよ。" -> "One-byte cotton is friends."
"【襖】" -> "【Fuji】"
"ひらひらひら～、お空の散歩……♪" -> "Flirting Hira, walking in the sky ... ♪"
"【襖】" -> "【Fuji】"
"溶かしちゃうよ……♪" -> "I will melt it ... ♪ ♪"
"【襖】" -> "【Fuji】"
"この体からは、溶解液が染み出るんだよ。" -> "From this body, the solution seeps out."
"獲物を巻き取って、ドロドロに溶かすんだから……♪" -> "I take up the prey and melt it in the muddy ... ... ♪"
"【襖】" -> "【Fuji】"
"そもそも「襖」って知ってる？" -> "Do you know that \"sliding door\" in the first place?"
"ヤマタイだとね、開け閉めする戸にね……" -> "In Yamatai, go to the door to open and close ..."
"【襖】" -> "【Fuji】"
"あたしは、肉食の妖怪だよ！" -> "I am a youkai of carnivorous eating!"
"人間を食べちゃうんだからね！" -> "I will eat humans!"
"【襖】" -> "【Fuji】"
"あたし、悪い妖怪だよ～！" -> "I am a bad youkai ~!"
"【襖】" -> "【Fuji】"
"潮の匂いって、好きだなぁ……" -> "I like the smell of the tide ... ...."
"【襖】" -> "【Fuji】"
"人間なんて、滅多に捕まらないごちそう。" -> "A human being is rarely caught for a feast."
"普段は、魚とか採って食べてるんだよ。" -> "Usually, I take fish and eat it."
"質問" -> "A question"
"【襖】" -> "【Fuji】"
"この体で獲物を包んで、溶かしちゃうんだよ……？" -> "I wrap the prey with this body and melt it ... ....?"
"こわい！" -> "I am scared!"
"溶かされたい！" -> "I want to be melted!"
"溶かしたい！" -> "I want to melt!"
"こわい！" -> "I am scared!"
"【襖】" -> "【Fuji】"
"あははっ、こわいでしょ～！" -> "Haha, hey scary ~ right!"
"溶かされたい！" -> "I want to be melted!"
"【襖】" -> "【Fuji】"
"えへへっ、溶かしちゃうよ～！" -> "Well, I will melt!"
"溶かしたい！" -> "I want to melt!"
"【襖】" -> "【Fuji】"
"なんだか、こわい人……" -> "Somehow a scary person ..."
"【襖】" -> "【Fuji】"
"あたし達、なんで襖って名前なんだろうね……？" -> "We, why the fusuma is a name ... is that ...?"
"体が襖っぽいから" -> "The body is like a fusumera"
"昔は本物の襖だったから" -> "It used to be a genuine sliding door in the past"
"知らない" -> "Do not know"
"体が襖っぽいから" -> "The body is like a fusumera"
"【襖】" -> "【Fuji】"
"ふぅん、そういうものなのかな……？" -> "Well, I guess it's like that ...?"
"昔は本物の襖だったから" -> "It used to be a genuine sliding door in the past"
"【襖】" -> "【Fuji】"
"いや、あたしは付喪神じゃないし……" -> "No, I am not a minded god ... ..."
"知らない" -> "Do not know"
"【襖】" -> "【Fuji】"
"そう、あたしも知らない……" -> "Yes, I do not know ...."
"【襖】" -> "【Fuji】"
"あたし、どの妖怪の仲間か分かる？" -> "I understand which youkai's fellow?"
"ぬりかべ" -> "Coloring"
"一反木綿" -> "Monotonous cotton"
"ぬらりひょん" -> "Nurarihyan"
"ぬりかべ" -> "Coloring"
"【襖】" -> "【Fuji】"
"違うよぉ……と思うけど、もしかして近いのかな？" -> "I guess it's different ... I guess it is close, is not it?"
"一反木綿" -> "Monotonous cotton"
"【襖】" -> "【Fuji】"
"そう、私は一反木綿の仲間なの。" -> "Yes, I am a cotton buddy."
