"会話：ねこまた" -> "Conversation: Nekomarada"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【ねこまた】" -> "【Nekomata】"
"にゃっ！" -> "Nya!"
"【ねこまた】" -> "【Nekomata】"
"……にゃ？" -> "Whereabout"
"【ねこまた】" -> "【Nekomata】"
"にゃあ！　にゃあ！" -> "Alas! Alas!"
"【ねこまた】" -> "【Nekomata】"
"フー！" -> "Fu!"
"【ねこまた】" -> "【Nekomata】"
"にゃ～♪" -> "Meow"
"【ねこまた】" -> "【Nekomata】"
"ゴロゴロゴロ……" -> "Rolling rope ... ...."
"【ねこまた】" -> "【Nekomata】"
"うにゃっ！" -> "Uh!"
"【ねこまた】" -> "【Nekomata】"
"にゃにゃにゃにゃにゃにゃ……" -> "Well, you have to ......"
"【ねこまた】" -> "【Nekomata】"
"にゃあ！　にゃあ！　にゃあ！" -> "Alas! Alas! Alas!"
"【ねこまた】" -> "【Nekomata】"
"うにゃ～♪" -> "Uruha"
"質問" -> "A question"
"【ねこまた】" -> "【Nekomata】"
"にゃっ……！" -> "Nya ...!"
"ねこまたは手を差し出してきた……" -> "I have offered a cat or hand ... ..."
"どうしますか？" -> "what should I do?"
"無視する" -> "ignore"
"お手をする" -> "To do your hands"
"手を振り払う" -> "Shake off my hand"
"無視する" -> "ignore"
"【ねこまた】" -> "【Nekomata】"
"……………………" -> "........................"
"お手をする" -> "To do your hands"
"【ねこまた】" -> "【Nekomata】"
"にゃ～♪" -> "Meow"
"ねこまたは満足したようだ！" -> "It looks like a cat or satisfied!"
"手を振り払う" -> "Shake off my hand"
"【ねこまた】" -> "【Nekomata】"
"フー！" -> "Fu!"
"ねこまたは怒ってしまった！" -> "Nekomara was getting angry!"
"【ねこまた】" -> "【Nekomata】"
"……………………" -> "........................"
"ねこまたは、手持ちの食料を狙っている……" -> "Cat or aiming for food on hand ... ..."
"あげる" -> "Will give"
"あげない" -> "I will not give it"
"あげるフリをして自分で食べる" -> "I will pretend to eat by myself"
"あげる" -> "Will give"
"【ねこまた】" -> "【Nekomata】"
"にゃ～♪" -> "Meow"
"ねこまたは喜んでいるようだ！" -> "Neko it seems to be pleased!"
"あげない" -> "I will not give it"
"【ねこまた】" -> "【Nekomata】"
"フー！" -> "Fu!"
"ねこまたは怒ってしまった！" -> "Nekomara was getting angry!"
"あげるフリをして自分で食べる" -> "I will pretend to eat by myself"
"【ねこまた】" -> "【Nekomata】"
"…………！？！？" -> "............! What? ! What?"
"ねこまたはこの世が信じられなくなった……" -> "I can not believe the cat or the world ..."
"【ねこまた】" -> "【Nekomata】"
"うにゃっ！" -> "Uh!"
"ねこまたは挨拶しているようだ……" -> "It seems to be a cat or greet ... ..."
"どうしますか？" -> "what should I do?"
"人間の言葉で挨拶する" -> "Greeting in human language"
"猫の言葉で挨拶する" -> "Greeting in the words of a cat"
"挨拶しない" -> "Do not say hello."
"人間の言葉で挨拶する" -> "Greeting in human language"
"【ルカ】" -> "【Luke】"
"こんにちは。" -> "Hello."
"【ねこまた】" -> "【Nekomata】"
"にゃ～♪" -> "Meow"
"ねこまたは懐いている……" -> "Nekomasa is familiar ... ..."
"猫の言葉で挨拶する" -> "Greeting in the words of a cat"
"【ルカ】" -> "【Luke】"
"にゃっ！" -> "Nya!"
"【ねこまた】" -> "【Nekomata】"
"にゃ！？" -> "Well! What?"
"ねこまたは驚いているようだ……" -> "Neko is surprised ... ..."
"挨拶しない" -> "Do not say hello."
