"会話：スズメバチ娘" -> "Conversation: a hornet girl"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ブン、ブン、ブン……" -> "Bun, Bun, Bun ..."
"【スズメバチ娘】" -> "[Wasps daughter]"
"蜜、集メル……" -> "Honey, collection mel ..."
"精液モ、集メル……" -> "Semen mo, collecting mel ..."
"【スズメバチ娘】" -> "[Wasps daughter]"
"私達、スズメバチ……" -> "We, the hornet, ..."
"【スズメバチ娘】" -> "[Wasps daughter]"
"女王様ノタメニ……" -> "Queen Notatani ......"
"【スズメバチ娘】" -> "[Wasps daughter]"
"蜜、集メル……" -> "Honey, collection mel ..."
"肉ダンゴモ、集メル……" -> "Meat dango moam, gathering mel ..."
"【スズメバチ娘】" -> "[Wasps daughter]"
"蟻、嫌イ……" -> "Ants, disgusting ......"
"【スズメバチ娘】" -> "[Wasps daughter]"
"蟻ニモ蜘蛛ニモ、ゴキブリニモ女王イル……" -> "Ant Nemo Spider Nemo, Cockroach Nemo Queen Il ... ..."
"デモ、蜂ノ女王ガ一番エライ！" -> "Demo, Queen Hinano the best!"
"【スズメバチ娘】" -> "[Wasps daughter]"
"蜂ノ毒針、トッテモ痛イ……" -> "Bean poisoning needle, Totemo pain ..."
"【スズメバチ娘】" -> "[Wasps daughter]"
"女王様、オ腹スカセテル時間……" -> "Queen, oh belga Succetel time ......"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ハチノ字ダンス……♪　ランランラン……♪" -> "Hachinoji letter dance ...... ♪ Ranlan run ... ... ♪"
"質問" -> "A question"
"【スズメバチ娘】" -> "[Wasps daughter]"
"人間ニハ、女王様ハイナイノカ……？" -> "Human niha, Queen Heyne-na ... ...?"
"いる" -> "To have"
"いない" -> "Not in"
"僕が女王様だ" -> "I am the queen."
"いる" -> "To have"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ナラ、働ケ……" -> "Nara, work ......"
"いない" -> "Not in"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ソレジャ、何ノタメニ生キテル……？" -> "Soreja, what notte men's kitty ... ...?"
"僕が女王様だ" -> "I am the queen."
"【スズメバチ娘】" -> "[Wasps daughter]"
"オスノ女王様！？　……新シイ！" -> "Queen Osuno! What? ... ... New Shi!"
"【スズメバチ娘】" -> "[Wasps daughter]"
"チクチク、シテイイカ……？" -> "Scratchy, crispy ... ...?"
"いいよ" -> "OK"
"やめて" -> "stop"
"毒針は効かない" -> "Poisonous needle does not work"
"いいよ" -> "OK"
"【スズメバチ娘】" -> "[Wasps daughter]"
"チクチク……" -> "Prickly ..."
"【ルカ】" -> "【Luke】"
"ああ～！" -> "Oh ~!"
"ルカは麻痺状態になった！" -> "Luke became paralyzed!"
"やめて" -> "stop"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ジャア、ヤメル……" -> "Jia, Yamel ......"
"毒針は効かない" -> "Poisonous needle does not work"
"【スズメバチ娘】" -> "[Wasps daughter]"
"タメシテミル、チクチク……" -> "Tameishitiru, scratchy ... ..."
"【ルカ】" -> "【Luke】"
"ああ～！" -> "Oh ~!"
"ルカは麻痺状態になった！" -> "Luke became paralyzed!"
"【スズメバチ娘】" -> "[Wasps daughter]"
"甘イハチミツ、ドコニイッパイアル……？" -> "Ikki Ikki, Doiconi Ipai ... ...?"
"ミツバチ娘の巣" -> "Honeybee daughter's nest"
"クマ娘の巣" -> "Bear's daughter's nest"
