"会話：パイズリ人形" -> "Conversation: Fucking doll"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【パイズリ人形】" -> "【Fucking doll】"
"ｶﾀｶﾀｶﾀｶﾀｶﾀ……" -> "Strongly rattled ..."
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形はじっこちらを見ている……" -> "A fucking doll is watching here ... ..."
"【パイズリ人形】" -> "【Fucking doll】"
"…………！？" -> "............! What?"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形はおっぱいをぷるぷる揺らしている……" -> "The fucking doll is shaking the boobs ... ..."
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形はぴょこぴょこ飛び跳ねている……" -> "The fucking doll is jumping Pikopopiko ... ...."
"質問" -> "A question"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形はお小遣いが欲しいようだ……" -> "A fucking doll seems to want pocket money ... ..."
"どうしますか？" -> "what should I do?"
"あげる" -> "Will give"
"あげる" -> "Will give"
"あげない" -> "I will not give it"
"あげる" -> "Will give"
"ルカは、パイズリ人形のおっぱいに5G硬貨を挟んだ……" -> "Luke pinched a 5 G coin on a breast puppy's tits ... ..."
"【パイズリ人形】" -> "【Fucking doll】"
"…………！！" -> "............! !"
"喜んでいるようだ！" -> "It seems they are pleased!"
"あげる" -> "Will give"
"ルカは、パイズリ人形のおっぱいに50G札を挟んだ……" -> "Luke pinched a 50G note in a breast puppy's tits ... ..."
"【パイズリ人形】" -> "【Fucking doll】"
"…………！？！？" -> "............! What? ! What?"
"大喜びしているようだ！" -> "It seems to be delighted!"
"あげない" -> "I will not give it"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"がっかりしている……" -> "I am disappointed ..."
"【パイズリ人形】" -> "【Fucking doll】"
"…………！？" -> "............! What?"
"パイズリ人形は転んでしまった！" -> "The fucking doll has fallen!"
"おっぱいが大きくて起き上がれない！" -> "I have big boobs and I can not get up!"
"起こしてあげる" -> "I will wake you"
"黙って見ている" -> "I keep silent"
"転がす" -> "roll"
"起こしてあげる" -> "I will wake you"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形は感謝している！" -> "Thanks to the fucking doll!"
"黙って見ている" -> "I keep silent"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形は何とか自力で起き上がった！" -> "The fucking doll managed to get up on its own!"
"少し恥ずかしそうだ……" -> "I'm a bit embarrassed ... ..."
"転がす" -> "roll"
"【パイズリ人形】" -> "【Fucking doll】"
"…………！？！？" -> "............! What? ! What?"
"パイズリ人形は怒っている！" -> "The fucking doll is angry!"
"【パイズリ人形】" -> "【Fucking doll】"
"…………♪　……♪" -> "............ ♪ ...... ♪"
"突然、パイズリ人形は踊り出した！" -> "Suddenly, a fucking doll started to dance!"
"じっと見ている" -> "I'm still watching"
"一緒に踊る" -> "Dancing with"
"この隙に攻撃する" -> "Attack this gap"
"じっと見ている" -> "I'm still watching"
"【パイズリ人形】" -> "【Fucking doll】"
"……♪　…………♪" -> "...... ♪ ............ ♪"
"少し照れた様子で、パイズリ人形は踊っている……" -> "Looks a bit shy, a fucking doll is dancing ......"
"一緒に踊る" -> "Dancing with"
"【パイズリ人形】" -> "【Fucking doll】"
"…………！？" -> "............! What?"
