"会話：グール" -> "Conversation: Goole"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【グール】" -> "【Goole】"
"ぅぅぅぅ……" -> "Wow ...."
"【グール】" -> "【Goole】"
"はら……へった……" -> "I'm hungry……"
"【グール】" -> "【Goole】"
"ぉぉぉ……ぁぁぁ……♪" -> "ぉ ぉ ぉ ...... ぁ ぁ ... ♪"
"グールは踊っている！" -> "Goole is dancing!"
"【グール】" -> "【Goole】"
"あぅぅ……おぉぉぉ……" -> "Ah ... ...."
"【グール】" -> "【Goole】"
"べー……" -> "Ba ..."
"グールはアカンベーをした！" -> "Goul played acamba!"
"質問" -> "A question"
"【グールＡ】" -> "【Goole A】"
"がぶがぶ……" -> "I am ..."
"【グールＢ】" -> "【Goul B】"
"がじがじ……" -> "Scurvy"
"グール達は互いにかぶりついている！" -> "Girls are glueing each other!"
"やめさせる" -> "To stop"
"黙って見ている" -> "I keep silent"
"一緒にかぶりつく" -> "To join together"
"やめさせる" -> "To stop"
"【グール】" -> "【Goole】"
"ぉぉぅ……" -> "ぉ ぉ ぅ ......"
"感謝しているようだ！" -> "It seems to be appreciated!"
"黙って見ている" -> "I keep silent"
"【グールＡ】" -> "【Goole A】"
"がぶがぶ……" -> "I am ..."
"【グールＢ】" -> "【Goul B】"
"がじがじ……" -> "Scurvy"
"グール達は互いにかぶりついている……" -> "Girls are glueing each other ... ..."
"一緒にかぶりつく" -> "To join together"
"【ルカ】" -> "【Luke】"
"がぶがぶ……" -> "I am ..."
"【グール】" -> "【Goole】"
"…………！？" -> "............! What?"
"グール達は引いている……" -> "Girls are pulling ... ..."
"【グール】" -> "【Goole】"
"ぉぉぉ……ぁぁぁ……♪" -> "ぉ ぉ ぉ ...... ぁ ぁ ... ♪"
"グール達は踊り出した！" -> "The girls started dancing!"
"一緒に踊る" -> "Dancing with"
"歌ってあげる" -> "I will sing"
"無視する" -> "ignore"
"一緒に踊る" -> "Dancing with"
"【グール】" -> "【Goole】"
"ぉぉぉ……ぁぁぁ……♪" -> "ぉ ぉ ぉ ...... ぁ ぁ ... ♪"
"グール達は上機嫌のようだ！" -> "Girls seems to be in good spirits!"
"歌ってあげる" -> "I will sing"
"【グール】" -> "【Goole】"
"…………！？" -> "............! What?"
"グール達はおびえだした……" -> "Goals were scared ... ..."
"無視する" -> "ignore"
"【グール】" -> "【Goole】"
"ぉぉぉ……ぁぁぁ……♪" -> "ぉ ぉ ぉ ...... ぁ ぁ ... ♪"
"グール達は踊り続けている……" -> "The girls are dancing ... ..."
"【グール】" -> "【Goole】"
"ぅぅぅ……ぉぉ……" -> "ぅ ぅ ぅ ...... ぉ ぉ ......"
"グールの服が、ボロボロになって脱げ落ちてしまった！" -> "Ghoul 's clothes fell off and fell off!"
"着せてあげる" -> "I will put on you"
"もらう" -> "get"
"放っておく" -> "Leave it alone"
"着せてあげる" -> "I will put on you"
"【グール】" -> "【Goole】"
"ぁぁぁ……" -> "Ahh ......"
"グールは喜んでいる！" -> "Gouru is pleased!"
"もらう" -> "get"
"【グール】" -> "【Goole】"
"……………………" -> "........................"
"グールは悲しそうだ……" -> "Ghoul looks sad ... ..."
"放っておく" -> "Leave it alone"
"【グール】" -> "【Goole】"
"……………………" -> "........................"
"要求" -> "request"
"【グール】" -> "【Goole】"
"肉……" -> "meat……"
"「肉」をあげますか？（所持数：" -> "Would you give me \"meat\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【グール】" -> "【Goole】"
"おお……うぅ……♪" -> "Oh ... ... ... Uo ... ... ♪"
"いいえ" -> "No"
"【グール】" -> "【Goole】"
"……………………" -> "........................"
"【グール】" -> "【Goole】"
"ひもの……ひもの……" -> "Thong's ... ... thong ......"
"「ほしにく」をあげますか？（所持数：" -> "Would you give \"Hoshigaku\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【グール】" -> "【Goole】"
"おお……うぅ……♪" -> "Oh ... ... ... Uo ... ... ♪"
"いいえ" -> "No"
"【グール】" -> "【Goole】"
"……………………" -> "........................"
"【グール】" -> "【Goole】"
"おか……ね……" -> "Father ..."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【グール】" -> "【Goole】"
"おお……うぅ……♪" -> "Oh ... ... ... Uo ... ... ♪"
"いいえ" -> "No"
"【グール】" -> "【Goole】"
"……………………" -> "........................"
"【グール】" -> "【Goole】"
"……………………ない？" -> "……………………Absent?"
"贈与" -> "Gift"
"【グール】" -> "【Goole】"
"これ……を……" -> "this……"
"グールから「肉まん」をもらった！" -> "I got \"Gun Men\" from Ghoul!"
"【グール】" -> "【Goole】"
"これ……を……" -> "this……"
"グールから「ネクロパウダー」をもらった！" -> "I got \"Necro Powder\" from Goole!"
"【グール】" -> "【Goole】"
"これ……を……" -> "this……"
"グールから675Gをもらった！" -> "I got 675 G from GOUL!"
