"会話：マッドゴーレム娘" -> "Conversation: Mad golem girl"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"敵を排除しマス……" -> "Eliminate enemies and mass ..."
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"どろどろ……" -> "Mushrooms ..."
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"戦闘中です！　戦闘中です！" -> "We are in battle! We are in battle!"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"良質の魔泥で作られてイマス……" -> "Imasu made of good magical mud ......"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"王妃サマ……" -> "Queen Sama ... ...."
"質問" -> "A question"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"あなたの行動目的を確認しマス……" -> "Check your action purpose and trout ..."
"観光" -> "Tourism"
"就労" -> "Employment"
"侵略" -> "Invasion"
"観光" -> "Tourism"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"それでは、名所に招待しマス……" -> "Well then, invite to the sights and mass ..."
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"……地獄へ！！" -> "... ... to hell! !"
"就労" -> "Employment"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"労働人口は足りていマス。" -> "The working population is missing."
"不法就労者は国外退去……" -> "Illegal workers retire abroad ..."
"侵略" -> "Invasion"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"侵略者、発見！" -> "Invader, found!"
"対処行動を開始しマス……！" -> "Dealing action started, mass ...!"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"私の用途を確認しマス……" -> "Check my use and trout ..."
"戦闘用" -> "For combat"
"土木作業用" -> "For civil engineering work"
"性処理用" -> "For sex treatment"
"戦闘用" -> "For combat"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"了解しマシた。" -> "I understood that."
"戦闘を続行しマス……" -> "Continue fighting and mass ..."
"土木作業用" -> "For civil engineering work"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"了解しマシた。" -> "I understood that."
"戦闘終了後、土木作業に移りマス……" -> "After battle is over, move to civil work and mass ..."
"性処理用" -> "For sex treatment"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"了解しマシた。" -> "I understood that."
"戦闘終了後、対象の性処理を行いマス……" -> "After the battle is over, the sex treatment of the subject is carried out and the trout ..."
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"マッドゴーレムの「マッド」の意味を問いマス……" -> "Ask the meaning of Mad Golem's \"Mad\" Mass ..."
"泥" -> "mud"
"狂う" -> "Go mad"
"愚か者" -> "A fool"
"泥" -> "mud"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"私は、泥のゴーレム……" -> "I, the mud golem ......"
"狂う" -> "Go mad"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"私は、狂ったゴーレム……！？" -> "I am a crazy golem ... ...! What?"
"そんな……まさか……" -> "No way ... ... No way ... ..."
"愚か者" -> "A fool"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"それは、あなたの事デス……" -> "It's about you, death ......"
"要求" -> "request"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"土の力を頂きマす……" -> "Receive the power of the earth ..."
"「土石」をあげますか？（所持数：" -> "Would you give \"earth stone\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"供給に感謝……" -> "I appreciate the supply ..."
"いいえ" -> "No"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"……………………" -> "........................"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"聖水を頂きマす……" -> "I will receive holy water ..."
"「聖水」をあげますか？（所持数：" -> "Do you give \"holy water\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"供給に感謝……" -> "I appreciate the supply ..."
"いいえ" -> "No"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"……………………" -> "........................"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"お金を頂きマす……" -> "I will give you money ..."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"供給に感謝……" -> "I appreciate the supply ..."
"いいえ" -> "No"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"……………………" -> "........................"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"回収不能……資金難デスか？" -> "Uncollectable ...... Funding difficult?"
"贈与" -> "Gift"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"歯車は取れマした、どこの部品か分かりマセん……" -> "I got a gear, I knew where the parts are ... Mass ..."
"取得を願います……" -> "I hope to acquire ......"
"マッドゴーレム娘から「魔導の歯車」をもらった！" -> "Mad golem got \"magical gear\" from musume!"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"取得して下サい……" -> "Please get it and go down ......"
"マッドゴーレム娘から「あんこ」をもらった！" -> "I got \"Anko\" from Mad Golem daughter!"
"【マッドゴーレム娘】" -> "【Mad golem girl】"
"取得して下サい……" -> "Please get it and go down ......"
"マッドゴーレム娘から3660Gをもらった！" -> "I got 3660 G from mad golem daughter!"
