"会話：ゴーレム娘" -> "Conversation: Golem girl"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【ゴーレム娘】" -> "【Golem girl】"
"戦闘続行中……" -> "Battle continues ......"
"【ゴーレム娘】" -> "【Golem girl】"
"全力で侵入者を排除……" -> "Eliminate intruders with full power ......"
"【ゴーレム娘】" -> "【Golem girl】"
"ゴゴゴゴゴ……" -> "Gogogogogo ......"
"【ゴーレム娘】" -> "【Golem girl】"
"ちぃ……ぱっぱ……" -> "Chi ...... PAPE ......"
"【ゴーレム娘】" -> "【Golem girl】"
"王妃様に従うのみ……" -> "Follow queen only ... ...."
"質問" -> "A question"
"【ゴーレム娘】" -> "【Golem girl】"
"ゴーレムに……魂はあるか……？" -> "Golem ... ... Is there a soul ...?"
"ある" -> "is there"
"ない" -> "Absent"
"魂とは何だ？" -> "What is a soul?"
"ある" -> "is there"
"【ゴーレム娘】" -> "【Golem girl】"
"私にも……魂が……" -> "To me as well ... ... the soul ......"
"ゴゴゴゴゴ……" -> "Gogogogogo ......"
"ない" -> "Absent"
"【ゴーレム娘】" -> "【Golem girl】"
"ならば、なぜ私は……" -> "Then why would I ... ..."
"ゴゴゴゴゴ……" -> "Gogogogogo ......"
"魂とは何だ？" -> "What is a soul?"
"【ゴーレム娘】" -> "【Golem girl】"
"……………………" -> "........................"
"【ゴーレム娘】" -> "【Golem girl】"
"ゴーレムの生存目的とは……？" -> "What is the survival purpose of golem ...?"
"働くこと" -> "To work"
"戦うこと" -> "Fighting"
"自分で見つけろ" -> "Find it yourself"
"働くこと" -> "To work"
"【ゴーレム娘】" -> "【Golem girl】"
"働くだけの人生……" -> "Life just to work ......"
"ゴゴゴゴゴ……" -> "Gogogogogo ......"
"戦うこと" -> "Fighting"
"【ゴーレム娘】" -> "【Golem girl】"
"ならば、お前と戦う……" -> "Then, I will fight you ..."
"ゴゴゴゴゴ……" -> "Gogogogogo ......"
"自分で見つけろ" -> "Find it yourself"
"【ゴーレム娘】" -> "【Golem girl】"
"難しい……" -> "difficult……"
"だが、それこそが……" -> "But that is ... ..."
"【ゴーレム娘】" -> "【Golem girl】"
"人間の生存目的とは……？" -> "What is the purpose of human survival ...?"
"楽しく暮らすこと" -> "Living happily"
"子孫を残すこと" -> "Leaving descendants"
"働くこと" -> "To work"
"楽しく暮らすこと" -> "Living happily"
"【ゴーレム娘】" -> "【Golem girl】"
"楽しく暮らすのが、生存目的……" -> "To live happily, live purpose ... ..."
"理解不能……" -> "Unintelligible……"
"子孫を残すこと" -> "Leaving descendants"
"【ゴーレム娘】" -> "【Golem girl】"
"残してどうする……？" -> "What to do ......?"
"理解不能……" -> "Unintelligible……"
"働くこと" -> "To work"
"【ゴーレム娘】" -> "【Golem girl】"
"ゴーレムと同じ……" -> "Same as golem ..."
"理解した……" -> "understood……"
"要求" -> "request"
"【ゴーレム娘】" -> "【Golem girl】"
"動力不足……" -> "Power shortage ..."
"「雷石」をあげますか？（所持数：" -> "Would you give \"Thunderstone\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ゴーレム娘】" -> "【Golem girl】"
"供給完了……" -> "Supply completion ..."
"いいえ" -> "No"
"【ゴーレム娘】" -> "【Golem girl】"
"供給不能……" -> "Supply impossible ......"
"【ゴーレム娘】" -> "【Golem girl】"
"一部、機関損傷……" -> "Partly, machine damage ......"
"「理知の歯車」をあげますか？（所持数：" -> "Would you give up \"a gear of reason\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ゴーレム娘】" -> "【Golem girl】"
"供給完了……" -> "Supply completion ..."
"いいえ" -> "No"
"【ゴーレム娘】" -> "【Golem girl】"
"供給不能……" -> "Supply impossible ......"
"【ゴーレム娘】" -> "【Golem girl】"
"資金回収……" -> "Cash collection ..."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ゴーレム娘】" -> "【Golem girl】"
"供給完了……" -> "Supply completion ..."
"いいえ" -> "No"
"【ゴーレム娘】" -> "【Golem girl】"
"供給不能……" -> "Supply impossible ......"
"【ゴーレム娘】" -> "【Golem girl】"
"……回収不能！" -> "...... uncollectible!"
"贈与" -> "Gift"
"【ゴーレム娘】" -> "【Golem girl】"
"贈与……" -> "Gift ..."
"ゴーレム娘から「フェニックスの尾」をもらった！" -> "Golem girl got \"Phoenix's tail\"!"
"【ゴーレム娘】" -> "【Golem girl】"
"贈与……" -> "Gift ..."
"ゴーレム娘から「魔導の歯車」をもらった！" -> "I got \"magical gear\" from golem daughter!"
"【ゴーレム娘】" -> "【Golem girl】"
"贈与……" -> "Gift ..."
"ゴーレム娘から1875Gをもらった！" -> "I got 1875 G from Golem daughter!"
