"会話：サンゴ娘" -> "Conversation: Coral girl"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"サンゴ娘は反応しない……" -> "Coral girls do not react ... ...."
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"サンゴ娘は触手を揺らしている……" -> "Coral girls are shaking their tentacles ......"
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"サンゴ娘は静かに目をつぶっている……" -> "The coral daughter is quietly closing her eyes ......"
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"サンゴ娘はこっちを見た！" -> "Coral girl saw this!"
"……ような気がした。" -> "... I felt like it was."
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"サンゴ娘はウィンクした！" -> "Coral girl winked!"
"……と思ったが、気のせいのようだ。" -> "I thought that ... ... but it seems to me."
"質問" -> "A question"
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"サンゴ娘とコミュニケートしてみようか……" -> "Let's communicate with coral girls ......"
"挨拶する" -> "Greet"
"握手する" -> "To shake hands"
"罵倒する" -> "Abuse"
"挨拶する" -> "Greet"
"【ルカ】" -> "【Luke】"
"こんにちは、ルカです。" -> "Hello, this is Luca."
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"反応がない……" -> "There is no reaction ..."
"握手する" -> "To shake hands"
"【ルカ】" -> "【Luke】"
"今後ともよろしく……" -> "Sincerely, ..."
"触手の一本と握手した！" -> "I shook hands with one of the tentacles!"
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"態度が和らいだ気がする……" -> "I feel the attitude is relieved ......"
"罵倒する" -> "Abuse"
"【ルカ】" -> "【Luke】"
"いい加減にしろ！" -> "Let me go!"
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"気分を害した気がする……" -> "I feel I was offended ... ..."
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"サンゴ娘に感情があるのかどうか分からない。" -> "I do not know if coral girl has feelings."
"試しに喜ばせてみようか……" -> "Shall I please please try ... ...."
"褒める" -> "praise"
"踊りを見せる" -> "Show dancing"
"性的アピール" -> "Sexual appeal"
"褒める" -> "praise"
"【ルカ】" -> "【Luke】"
"素晴らしいサンゴだ……" -> "It's a wonderful coral ......"
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"態度が和らいだ気がする……" -> "I feel the attitude is relieved ......"
"踊りを見せる" -> "Show dancing"
"【ルカ】" -> "【Luke】"
"ラララ～♪" -> "La la la ~ ♪"
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"サンゴ娘に反応はない……" -> "There is no response to coral daughter ......"
"性的アピール" -> "Sexual appeal"
"【ルカ】" -> "【Luke】"
"イヤ～ン♪" -> "Early"
"ルカは服をヒラヒラさせた！" -> "Luke made her clothes shimmer!"
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"サンゴ娘に反応はない……" -> "There is no response to coral daughter ......"
"【サンゴ娘】" -> "【Coral Girl】"
"……………………" -> "........................"
"サンゴ娘に感情があるのかどうか分からない。" -> "I do not know if coral girl has feelings."
"試しに怒らせてみようか……" -> "Let's try to make me angry ......"
"罵倒する" -> "Abuse"
"威圧する" -> "To intimidate"
"サンゴに名前を彫る" -> "Carving a name on the coral"
