"会話：アークジェリー" -> "Conversation: ARK JELLY"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【アークジェリー】" -> "【Ark Jelly】"
"ふらふら……" -> "Hanging around ... ...."
"【アークジェリー】" -> "【Ark Jelly】"
"ゆらゆら……" -> "Yellowing ..."
"【アークジェリー】" -> "【Ark Jelly】"
"触手、しゅるしゅる……" -> "Tentacles, gentlemen ... ..."
"【アークジェリー】" -> "【Ark Jelly】"
"むにゅっ、むにゅっ……" -> "Muuu, muyuu ..."
"【アークジェリー】" -> "【Ark Jelly】"
"波に流されちゃう……" -> "It will be swept away by the waves ..."
"【アークジェリー】" -> "【Ark Jelly】"
"きれいなくらげには、毒がある……にやり。" -> "For a clean jellyfish, there is poison ... to the ...."
"【アークジェリー】" -> "【Ark Jelly】"
"あたし、電気くらげだから……びりびりするよ。" -> "Because I am electric jellyfish ... ... I'm blown away."
"【アークジェリー】" -> "【Ark Jelly】"
"びりびりびり……" -> "Chirpecle ... ..."
"【アークジェリー】" -> "【Ark Jelly】"
"深海にいることも多いよ。" -> "I often stay in the deep sea."
"おなかがへると、浮いてくるの……" -> "When I get hungry, it floats ... ..."
"【アークジェリー】" -> "【Ark Jelly】"
"エルダースキュラちゃんは、ともだち……" -> "Elder Scura is a friend ......"
"質問" -> "A question"
"【アークジェリー】" -> "【Ark Jelly】"
"あなた、人間だよね……？" -> "You are a human, are not you ...?"
"人間だ" -> "It is a human being."
"天使だ" -> "It's an angel."
"エイリアンだ" -> "It's an alien."
"人間だ" -> "It is a human being."
"【アークジェリー】" -> "【Ark Jelly】"
"人間、搾るよ……" -> "Man, I will squeeze ... ..."
"天使だ" -> "It's an angel."
"【アークジェリー】" -> "【Ark Jelly】"
"天使……？　きらい……" -> "angel……? I hate it."
"エイリアンだ" -> "It's an alien."
"【アークジェリー】" -> "【Ark Jelly】"
"あたし達の星へ、ようこそ……" -> "Welcome to our stars ......"
"【アークジェリー】" -> "【Ark Jelly】"
"あたしは、くらげ族の中でも一番の使い手なのだよ……" -> "I am the best user among the Jellyfish ... ..."
"すごい！" -> "It is amazing!"
"すごくない" -> "Not great"
"どうでもいい" -> "Does not matter"
"すごい！" -> "It is amazing!"
"【アークジェリー】" -> "【Ark Jelly】"
"ふふーん！" -> "Huffing!"
"すごくない" -> "Not great"
"【アークジェリー】" -> "【Ark Jelly】"
"悲しい……" -> "sad……"
"どうでもいい" -> "Does not matter"
"【アークジェリー】" -> "【Ark Jelly】"
"しょせんは、狭いくらげ業界の話……" -> "Shoshin is a narrow jellyfish industry story ......"
"【アークジェリー】" -> "【Ark Jelly】"
"あたし、きらきら光ってキレイだよね……？" -> "I glittering and beautiful, are not they ...?"
"キレイ" -> "Beautiful"
"キレイじゃない" -> "It is not beautiful."
"僕はもっと輝く" -> "I shine more"
"キレイ" -> "Beautiful"
"【アークジェリー】" -> "【Ark Jelly】"
"うれしい……" -> "I'm so glad"
"キレイじゃない" -> "It is not beautiful."
"【アークジェリー】" -> "【Ark Jelly】"
"悲しい……" -> "sad……"
"僕はもっと輝く" -> "I shine more"
"【アークジェリー】" -> "【Ark Jelly】"
"すごい……見たい……！" -> "Great ... I want to see ... ...!"
"【アークジェリー】" -> "【Ark Jelly】"
"触手がちぎれても、すぐ生えてくるよ……" -> "Even if the tentacle breaks, it will come out soon ..."
"……うらやましい？" -> "... ... Do you envy?"
"うらやましい" -> "I envy"
"うらやましくない" -> "I'm not jealous"
