"会話：リボ・リボ" -> "Conversation: Ribo Ribo"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【リボ・リボ】" -> "【Ribo · ribo】"
"第一種断界接触……" -> "Type I Cutting Contact ..."
"ただちに排除する……" -> "Immediately remove it ..."
"【リボ・リボ】" -> "【Ribo · ribo】"
"私は……私は……" -> "I ... ... I ... ...."
"【リボ・リボ】" -> "【Ribo · ribo】"
"抹消あるのみ……" -> "There is only erasure ......"
"【リボ・リボ】" -> "【Ribo · ribo】"
"攻撃開始……" -> "Begin attack……"
"【リボ・リボ】" -> "【Ribo · ribo】"
"アポトーシスとは……" -> "What is apoptosis ... ...."
"【リボ・リボ】" -> "【Ribo · ribo】"
"私の体は、どうなって……" -> "What happens to my body ......"
"【リボ・リボ】" -> "【Ribo · ribo】"
"思考が機械に侵されて……" -> "Thoughts are being attacked by machines ......"
"【リボ・リボ】" -> "【Ribo · ribo】"
"体に、無数の兵器が……" -> "There are countless weapons on the body ......"
"【リボ・リボ】" -> "【Ribo · ribo】"
"排除……排除……排除……" -> "Elimination ... ... Elimination ... ... Elimination ... ..."
"【リボ・リボ】" -> "【Ribo · ribo】"
"私はアポトーシス……" -> "I apoptosis ... ...."
"侵入者を排除する機構……" -> "Mechanism to eliminate intruders ..."
"質問" -> "A question"
"【リボ・リボ】" -> "【Ribo · ribo】"
"当機の用途を問う……" -> "Ask the use of this machine ... ..."
"戦闘用" -> "For combat"
"家庭用" -> "household use"
"繁殖用" -> "For breeding"
"戦闘用" -> "For combat"
"【リボ・リボ】" -> "【Ribo · ribo】"
"ならば、戦闘を行う……" -> "Then, do battle ..."
"家庭用" -> "household use"
"【リボ・リボ】" -> "【Ribo · ribo】"
"家庭での扱いは……適していない……" -> "Handling at home ...... not suitable ......"
"繁殖用" -> "For breeding"
"【リボ・リボ】" -> "【Ribo · ribo】"
"確かに、繁殖機能が……" -> "Certainly, breeding function ......"
"私は一体……" -> "I am one ... ..."
"【リボ・リボ】" -> "【Ribo · ribo】"
"機械に心はあるのか……？" -> "Do machines have hearts ...?"
"ある" -> "is there"
"ない" -> "Absent"
"心とは何だ" -> "What is heart"
"ある" -> "is there"
"【リボ・リボ】" -> "【Ribo · ribo】"
"そうか……ならば私は……" -> "I see ... I ..."
"ない" -> "Absent"
"【リボ・リボ】" -> "【Ribo · ribo】"
"ならば、私はなぜ……" -> "Then why would I ... ..."
"心とは何だ" -> "What is heart"
"【リボ・リボ】" -> "【Ribo · ribo】"
"心とは……心とは何か……" -> "What is heart ... What is heart ...?"
"【リボ・リボ】" -> "【Ribo · ribo】"
"お前達は、侵入者か……？" -> "Are you an intruder ... ...?"
"侵入者だ" -> "It's an intruder."
"侵入者じゃない" -> "It's not an intruder"
"チン入者だ" -> "I'm a chin admitted."
"侵入者だ" -> "It's an intruder."
"【リボ・リボ】" -> "【Ribo · ribo】"
"ならば排除する……" -> "If so eliminate ..."
"侵入者じゃない" -> "It's not an intruder"
"【リボ・リボ】" -> "【Ribo · ribo】"
"そうなのか……？" -> "Is it so……?"
"ならば、何のために……" -> "Then, for what purpose ... ..."
"チン入者だ" -> "I'm a chin admitted."
"【リボ・リボ】" -> "【Ribo · ribo】"
"……？？？" -> "......? What? What?"
"【リボ・リボ】" -> "【Ribo · ribo】"
"タルタロスの奥には、何があるのか……" -> "What's behind Tartarus ......"
"並行世界" -> "Concurrent world"
"天国" -> "heaven"
"サウナ" -> "sauna"
