"会話：シロクマ娘" -> "Conversation: Polar bear girl"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【シロクマ娘】" -> "【Polar bear girl】"
"さむさむ……" -> "Shamasami ......"
"【シロクマ娘】" -> "【Polar bear girl】"
"おなかへった……" -> "I'm hungry……"
"【シロクマ娘】" -> "【Polar bear girl】"
"シロクマ、さむがり……" -> "Polar bear, sluggish ......"
"【シロクマ娘】" -> "【Polar bear girl】"
"シロクマは、流氷に乗って南に移動するの……" -> "Polar bear moves on the ice floe to the south ..."
"【シロクマ娘】" -> "【Polar bear girl】"
"氷のブレス、吐けるよ……" -> "Ice brace, I can breathe ... ..."
"【シロクマ娘】" -> "【Polar bear girl】"
"シロクマは、臆病なの……いじめないでね。" -> "Polar bears are cowardly ... do not bully."
"【シロクマ娘】" -> "【Polar bear girl】"
"ぬくぬくしたいな……" -> "I want to get warm ..."
"【シロクマ娘】" -> "【Polar bear girl】"
"シロクマは、魚を食べるよ……" -> "Polar bears eat fish ......"
"【シロクマ娘】" -> "【Polar bear girl】"
"北の方、氷が溶け出したの……" -> "Northern part, the ice has melted ... ..."
"なんでだろうね……" -> "I wonder what it is……"
"【シロクマ娘】" -> "【Polar bear girl】"
"シロクマは、さびしがりや……" -> "Polar bear is lonely ... ..."
"質問" -> "A question"
"【シロクマ娘】" -> "【Polar bear girl】"
"あたたかいの、好き……？" -> "Warm, like ... ....?"
"好き" -> "Like"
"嫌い" -> "Hate"
"むしろ燃えている" -> "It is rather burning"
"好き" -> "Like"
"【シロクマ娘】" -> "【Polar bear girl】"
"じゃあ、ぬくぬくしよ……" -> "Well then, let's warm up ..."
"嫌い" -> "Hate"
"【シロクマ娘】" -> "【Polar bear girl】"
"さむさむ……" -> "Shamasami ......"
"むしろ燃えている" -> "It is rather burning"
"【シロクマ娘】" -> "【Polar bear girl】"
"ふわ毛、燃えちゃう……" -> "Fluffy, I'll burn ..."
"【シロクマ娘】" -> "【Polar bear girl】"
"ぬくぬく、しよ……？" -> "Warmth, try ...?"
"ぬくぬくする" -> "To be warm"
"ぬくぬくしない" -> "Do not get warm"
"ヌキヌキする" -> "To be stingy"
"ぬくぬくする" -> "To be warm"
"【シロクマ娘】" -> "【Polar bear girl】"
"ぬくぬく……♪" -> "Warmth ... ♪"
"ぬくぬくしない" -> "Do not get warm"
"【シロクマ娘】" -> "【Polar bear girl】"
"さむさむ……" -> "Shamasami ......"
"ヌキヌキする" -> "To be stingy"
"【シロクマ娘】" -> "【Polar bear girl】"
"……？？？" -> "......? What? What?"
"【シロクマ娘】" -> "【Polar bear girl】"
"この服、どうしたか分かる……？" -> "I understand what this clothes was ... ....?"
"自分で作った" -> "Self-made"
"物々交換" -> "Barter"
"旅人のを奪った" -> "I robbed a traveler"
"自分で作った" -> "Self-made"
"【シロクマ娘】" -> "【Polar bear girl】"
"ムリだよ……" -> "It's irritating ..."
"物々交換" -> "Barter"
"【シロクマ娘】" -> "【Polar bear girl】"
"そう……氷の魔女に、魚や果物をあげるの。" -> "Yes ... give a fish or fruit to the ice witch."
"そうしたら、服をくれるの。" -> "Then I will give you some clothes."
"旅人のを奪った" -> "I robbed a traveler"
"【シロクマ娘】" -> "【Polar bear girl】"
"そんな事、しないよ……" -> "I will not do such a thing ...."
"【シロクマ娘】" -> "【Polar bear girl】"
"どんなクマが好き……？" -> "What kind of bear do you like ...?"
"普通のクマ" -> "Ordinary bear"
