"会話：キメラビースト" -> "Conversation: Chimera Beast"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【キメラビースト】" -> "【Chimera Beast】"
"グルル……" -> "Guru ..."
"【キメラビースト】" -> "【Chimera Beast】"
"迎撃態勢、移行……" -> "Interceptive attitude, transition ..."
"【キメラビースト】" -> "【Chimera Beast】"
"侵入者、確認……" -> "Intruder, confirm ..."
"【キメラビースト】" -> "【Chimera Beast】"
"攻撃、開始……攻撃、開始……" -> "Attack, start ... ... Attack, start ..."
"【キメラビースト】" -> "【Chimera Beast】"
"私は……造られし、もの……" -> "I ... .... It was made and things ......"
"質問" -> "A question"
"【キメラビースト】" -> "【Chimera Beast】"
"現在、迎撃モード中……" -> "Currently in intercept mode ......"
"別モードに移行しますか？" -> "Do you want to switch to another mode?"
"移行しない" -> "Do not migrate"
"食事モードに移行" -> "Switch to meal mode"
"セックスモードに移行" -> "Move to sex mode"
"移行しない" -> "Do not migrate"
"【キメラビースト】" -> "【Chimera Beast】"
"了解、迎撃モードを続行……" -> "OK, continue the intercept mode ......"
"食事モードに移行" -> "Switch to meal mode"
"【キメラビースト】" -> "【Chimera Beast】"
"了解、侵入者を撃退の上で捕食……" -> "Acknowledgment, prey on repelling intruders ......"
"セックスモードに移行" -> "Move to sex mode"
"【キメラビースト】" -> "【Chimera Beast】"
"了解、侵入者を撃退の上で交尾……" -> "Acknowledgment, copulation on repelling intruders ......"
"【キメラビースト】" -> "【Chimera Beast】"
"侵入者、発見……" -> "Intruder, discovery ......"
"施設への侵入目的を確認。" -> "Confirm the intrusion purpose to the facility."
"探検しに来た" -> "I came here to explore."
"知人に会いに来た" -> "I came to see my acquaintance"
"魔物を倒しに来た" -> "I came to beat a monster"
"探検しに来た" -> "I came here to explore."
"【キメラビースト】" -> "【Chimera Beast】"
"認識不能……迎撃、開始。" -> "Unrecognizable ... Intercept, start."
"知人に会いに来た" -> "I came to see my acquaintance"
"【キメラビースト】" -> "【Chimera Beast】"
"了解……" -> "roger that……"
"撃退の上、管理者に引き渡しを実行。" -> "After repelling, we hand over to the manager."
"魔物を倒しに来た" -> "I came to beat a monster"
"【キメラビースト】" -> "【Chimera Beast】"
"認識不能……迎撃、開始。" -> "Unrecognizable ... Intercept, start."
"【キメラビースト】" -> "【Chimera Beast】"
"マスターは何処へ……？" -> "Where is the Master ...?"
"死んだ" -> "Died"
"どこかに行った" -> "I went somewhere."
"マスターって誰？" -> "Who is Master?"
"死んだ" -> "Died"
"【キメラビースト】" -> "【Chimera Beast】"
"マスター登録、再設定不可能……" -> "Master registration, impossible to reconfigure ......"
"どこかに行った" -> "I went somewhere."
"【キメラビースト】" -> "【Chimera Beast】"
"マスターを、探す……" -> "Find the Master ......"
"戦いが終わったら、探す……" -> "When the fight is over, I will search ..."
"マスターって誰？" -> "Who is Master?"
"【キメラビースト】" -> "【Chimera Beast】"
"認証不能。情報を開示できません……" -> "Authentication impossible. Information can not be disclosed ......"
"要求" -> "request"
"【キメラビースト】" -> "【Chimera Beast】"
"肉……" -> "meat……"
"「肉」をあげますか？（所持数：" -> "Would you give me \"meat\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【キメラビースト】" -> "【Chimera Beast】"
"…………♪" -> "............ ♪"
"いいえ" -> "No"
"【キメラビースト】" -> "【Chimera Beast】"
"……………………" -> "........................"
"【キメラビースト】" -> "【Chimera Beast】"
"ほしにく……" -> "Hoshino"
"「ほしにく」をあげますか？（所持数：" -> "Would you give \"Hoshigaku\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【キメラビースト】" -> "【Chimera Beast】"
"…………♪" -> "............ ♪"
"いいえ" -> "No"
"【キメラビースト】" -> "【Chimera Beast】"
"……………………" -> "........................"
"【キメラビースト】" -> "【Chimera Beast】"
"金……" -> "Money……"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【キメラビースト】" -> "【Chimera Beast】"
"…………♪" -> "............ ♪"
"いいえ" -> "No"
"【キメラビースト】" -> "【Chimera Beast】"
"……………………" -> "........................"
"【キメラビースト】" -> "【Chimera Beast】"
"…………ない？" -> "…………Absent?"
"贈与" -> "Gift"
"【キメラビースト】" -> "【Chimera Beast】"
"満月草……" -> "Full moon grass ......"
"キメラビーストから「満月草」をもらった！" -> "I got \"Full moon grass\" from Chimera Beast!"
"【キメラビースト】" -> "【Chimera Beast】"
"イリス細胞……" -> "Iris cells ..."
"キメラビーストから「イリス細胞」をもらった！" -> "I got \"Iris cells\" from chimera beast!"
"【キメラビースト】" -> "【Chimera Beast】"
"金……" -> "Money……"
"キメラビーストから2085Gをもらった！" -> "I got 2085 G from Chimera Beast!"
