"会話：S" -> "Conversation: S"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【S" -> "【S"
"】" -> "】"
"ぶくぶく……あわあわ……" -> "Fu ... ... Awaa ... ..."
"【S" -> "【S"
"】" -> "】"
"お外に遊びにいきたいな……" -> "I want to go out to play outside ..."
"【S" -> "【S"
"】" -> "】"
"人間だ……" -> "It's human ..."
"精液、吸っていい……？" -> "Semen, can I smoke ...?"
"【S" -> "【S"
"】" -> "】"
"あわあわあわ……" -> "Awashi ..."
"あわがいっぱい出てくるよ。" -> "A lot of rice cakes will come out."
"【S" -> "【S"
"】" -> "】"
"触手、のびるよ……" -> "Tentacle, it 's going to grow ..."
"にゅるにゅるにゅる……" -> "Northern lights ... ..."
"【S" -> "【S"
"】" -> "】"
"研究所には、戻りたくないな……？" -> "I do not want to go back to the laboratory ... ....?"
"【S" -> "【S"
"】" -> "】"
"髪の触手、前は切ってもらってたの。" -> "Hands' tentacles, I had my front cut."
"今は自分で縮めてるよ……" -> "I am shrinking myself now ... ..."
"【S" -> "【S"
"】" -> "】"
"他の研究所仲間、なんだか怖いよぉ……" -> "Another laboratory fellow, I'm scared somewhat ......"
"【S" -> "【S"
"】" -> "】"
"研究所は、どうなったのかなぁ……？" -> "I wonder what has become of the laboratory ... ...?"
"【S" -> "【S"
"】" -> "】"
"いっぱい遊んで日が暮れて……" -> "A day filled with plentiful ... ..."
"夜になったらぐっすり眠るよ。" -> "I will sleep soundly at night."
"質問" -> "A question"
"【S" -> "【S"
"】" -> "】"
"あわあわ……" -> "Awesome ..."
"あたしはスライム？　スキュラ？" -> "Am I slime? Scylor?"
"スライム" -> "Slime"
"スキュラ" -> "Scura"
"キメラ" -> "Chimera"
"スライム" -> "Slime"
"【S" -> "【S"
"】" -> "】"
"ぶくぶく、あわあわ……♪" -> "Fubuku, pounds ... ♪"
"スキュラ" -> "Scura"
"【S" -> "【S"
"】" -> "】"
"にゅるにゅる、じゅるじゅる……♪" -> "Nyuryunyu, Jyurururu ... ♪"
"キメラ" -> "Chimera"
"【S" -> "【S"
"】" -> "】"
"むずしいこと、分からない……" -> "I do not understand dull things ......"
"【S" -> "【S"
"】" -> "】"
"あたしを造ったのって、誰なの……？" -> "Who are you who made me ...?"
"イリアス" -> "Iliad"
"プロメスティン" -> "Pro mestin"
"僕" -> "I"
"イリアス" -> "Iliad"
"【S" -> "【S"
"】" -> "】"
"生き物はみんな、イリアス様が造ったって絵本で読んだよ。" -> "All the living things read with a picture book that Ilius made."
"でも、嘘だって聞いたよ……？" -> "But I heard that it was a lie ... ....?"
"プロメスティン" -> "Pro mestin"
"【S" -> "【S"
"】" -> "】"
"そう……マスター、そんな名前だったね……" -> "Yeah ... ... Master, I was such a name ..."
"僕" -> "I"
"【S" -> "【S"
"】" -> "】"
"ちがうよ……" -> "It is different ..."
"【S" -> "【S"
"】" -> "】"
"あたし、なんで造られたの……？" -> "Why was it built ...?"
"実験するため" -> "To experiment"
"戦うため" -> "To fight"
"のびのび遊ぶため" -> "To play freely"
"実験するため" -> "To experiment"
"【S" -> "【S"
"】" -> "】"
"実験、イヤだな……" -> "Experiment, I'm disappointed ..."
"戦うため" -> "To fight"
"【S" -> "【S"
"】" -> "】"
"じゃあ、戦うね……！" -> "Well then, I will fight ...!"
"のびのび遊ぶため" -> "To play freely"
"【S" -> "【S"
"】" -> "】"
"そうだったら、うれしいな……♪" -> "If so, I'm happy ... ♪"
