"会話：A" -> "Conversation: A"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【A" -> "【A"
"】" -> "】"
"辛いわ……妬ましいわ……" -> "It's painful ... ... I'm jealous ..."
"【A" -> "【A"
"】" -> "】"
"こんなに醜い体になってしまうなんて……" -> "It makes me so ugly body ... ...."
"【A" -> "【A"
"】" -> "】"
"自分で自分が汚らわしいわ……" -> "I am dirty myself ..."
"【A" -> "【A"
"】" -> "】"
"この触手……千切り取ってしまいたいわ……" -> "I want to take this tentacle ... ... shredded."
"【A" -> "【A"
"】" -> "】"
"は無邪気でいいわね……" -> "You are innocent and okay ...."
"私はいつも、悲嘆に暮れているわ。" -> "I am always grieving."
"【A" -> "【A"
"】" -> "】"
"とは、まったく話が通じないわ……" -> "I can not make myself understood at all ..."
"同じ天使素体でも、完全に別物みたいね。" -> "Even the same angel body seems completely different."
"【A" -> "【A"
"】" -> "】"
"かつて、私は天使だったわ……" -> "Once, I was an angel ... ..."
"この体は、罰のようなものね。" -> "This body is like punishment."
"【A" -> "【A"
"】" -> "】"
"今は自由の身のようね。" -> "It seems like a freedom right now."
"でも、こんな姿じゃ死んだようなものよ……" -> "But it looks like he died like this ..."
"【A" -> "【A"
"】" -> "】"
"舌が伸びるわ……不要なギミックね……" -> "My tongue will stretch ... ... Unnecessary gimmick ..."
"【A" -> "【A"
"】" -> "】"
"私の下半身はスライムよ……" -> "My lower body is slime ......"
"ヌラヌラして気持ち悪いわ……" -> "I feel naughty and frustrating ... ..."
"質問" -> "A question"
"【A" -> "【A"
"】" -> "】"
"天使の私が、どうして実験体に選ばれたのか分かる……？" -> "I understand why the angel was selected as an experiment ... ...?"
"優秀だったから" -> "Because it was excellent"
"罪を犯したから" -> "Because I committed a crime"
"くじ引きで選ばれたから" -> "I was chosen by lottery"
"優秀だったから" -> "Because it was excellent"
"【A" -> "【A"
"】" -> "】"
"おだてているの……？" -> "Is it alright ...?"
"まあ、悪くはないわね。" -> "Well, not bad."
"罪を犯したから" -> "Because I committed a crime"
"【A" -> "【A"
"】" -> "】"
"そう……私は、人間の男と結ばれてしまったの。" -> "Yes ... I was tied to a human man."
"その罰に、こんな姿にされたのよ。" -> "To such punishment, it was made to appear like this."
"くじ引きで選ばれたから" -> "I was chosen by lottery"
"【A" -> "【A"
"】" -> "】"
"ふざけているの……？" -> "Are you playing around?"
"【A" -> "【A"
"】" -> "】"
"私って……キレイ？" -> "I am ... beautiful?"
"キレイ" -> "Beautiful"
"醜い" -> "ugly"
"セクシー" -> "sexy"
"キレイ" -> "Beautiful"
"【A" -> "【A"
"】" -> "】"
"ふん、どうせ口だけでしょう……！" -> "Hmm, it will be just a mouth ...!"
"醜い" -> "ugly"
"【A" -> "【A"
"】" -> "】"
"はっきり言われた方がマシよ……" -> "Masayo better told you ..."
"セクシー" -> "sexy"
"【A" -> "【A"
"】" -> "】"
"セ、セクシー……！？" -> "Se, sexy ...! What?"
"そう考えた事はなかったわ……" -> "I never thought so ... ..."
"【A" -> "【A"
"】" -> "】"
"なんとかして……" -> "Somehow ......"
"元の天使の姿に戻れるかしら？" -> "Can I return to the form of the original angel?"
"戻れる" -> "Can return"
"戻れない" -> "I can not return"
"もう戻っている" -> "I am already back"
"戻れる" -> "Can return"
"【A" -> "【A"
"】" -> "】"
"慰めでも嬉しいわ……" -> "I'm also happy with comfort ..."
"戻れない" -> "I can not return"
"【A" -> "【A"
"】" -> "】"
