"　I'm falling" -> "I 'm falling"
"助け起こす" -> "To rescue"
"　What are you doing" -> "What are you doing"
"♪" -> "♪"
"　You're getting big because of that" -> "You're getting big because of that"
"なすがまま" -> "Nameless"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"♪" -> "♪"
"♪　Now come pathetically" -> "♪ Now come pathetically"
"♪" -> "♪"
"なすがまま" -> "Nameless"
"♪" -> "♪"
"♪" -> "♪"
"♪" -> "♪"
"♪　You're enjoying it" -> "♪ You're enjoying it"
"、" -> ","
"射精2" -> "Ejaculation 2"
"♪" -> "♪"
"射精2" -> "Ejaculation 2"
"♪" -> "♪"
"射精2" -> "Ejaculation 2"
"射精1" -> "Ejaculation 1"
"　You're coming already" -> "You're coming already"
"♪" -> "♪"
"射精2" -> "Ejaculation 2"
"♪" -> "♪"
