"　I'll lose at this raate" -> "I'll lose at this raate"
"洗ってもらう" -> "To have it washed"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"射精1" -> "Ejaculation 1"
"♪" -> "♪"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"射精1" -> "Ejaculation 1"
"　There's broth coming out of the tip" -> "There's broth coming out of the tip"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"射精1" -> "Ejaculation 1"
"♪" -> "♪"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"射精1" -> "Ejaculation 1"
"♪" -> "♪"
"♪" -> "♪"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"射精1" -> "Ejaculation 1"
"射精1" -> "Ejaculation 1"
"♪" -> "♪"
