"誘惑：人魂娘" -> "Temptation: Soul girl"
"【Will" -> "【Will"
"】" -> "】"
"【Will" -> "【Will"
"】" -> "】"
"無視する" -> "ignore"
"誘惑に乗る" -> "Tempt the temptation"
"【Will" -> "【Will"
"】" -> "】"
"射精1" -> "Ejaculation 1"
"【Will" -> "【Will"
"】" -> "】"
"♪" -> "♪"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"【Will" -> "【Will"
"】" -> "】"
"♪" -> "♪"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"【Will" -> "【Will"
"】" -> "】"
"♪" -> "♪"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"射精1" -> "Ejaculation 1"
"【Will" -> "【Will"
"】" -> "】"
"♪" -> "♪"
