"誘惑：ハイミノタウロス" -> "Temptation: Hi Minotaur"
"【High Minotauros】" -> "【High Minotauros】"
"【High Minotauros】" -> "【High Minotauros】"
"♪" -> "♪"
"もがく" -> "Struggle"
"なすがまま" -> "Nameless"
"【High Minotauros】" -> "【High Minotauros】"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"【High Minotauros】" -> "【High Minotauros】"
"射精1" -> "Ejaculation 1"
"【High Minotauros】" -> "【High Minotauros】"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"【High Minotauros】" -> "【High Minotauros】"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"射精1" -> "Ejaculation 1"
"【High Minotauros】" -> "【High Minotauros】"
"♪" -> "♪"
