"誘惑：テスカトリポカ" -> "Temptation: Tescatolipoka"
"【Tezcatlipoca】" -> "【Tezcatlipoca】"
"【Tezcatlipoca】" -> "【Tezcatlipoca】"
"無視する" -> "ignore"
"誘惑に乗る" -> "Tempt the temptation"
"【Tezcatlipoca】" -> "【Tezcatlipoca】"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"【Tezcatlipoca】" -> "【Tezcatlipoca】"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"【Tezcatlipoca】" -> "【Tezcatlipoca】"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"【Tezcatlipoca】" -> "【Tezcatlipoca】"
"♪" -> "♪"
"射精1" -> "Ejaculation 1"
"射精1" -> "Ejaculation 1"
"【Tezcatlipoca】" -> "【Tezcatlipoca】"
"♪" -> "♪"
"射精2" -> "Ejaculation 2"
"【Tezcatlipoca】" -> "【Tezcatlipoca】"
"♪" -> "♪"
