"誘惑：水龍娘" -> "Temptation: Water dragon girl"
"【Sea Dragon Girl】" -> "【Sea Dragon Girl】"
"【Sea Dragon Girl】" -> "【Sea Dragon Girl】"
"無視する" -> "ignore"
"しかしルカは誘惑を振り切った！" -> "But Luke shook up temptation!"
"誘惑に乗る" -> "Tempt the temptation"
"【Sea Dragon Girl】" -> "【Sea Dragon Girl】"
"射精1" -> "Ejaculation 1"
"【Sea Dragon Girl】" -> "【Sea Dragon Girl】"
"射精1" -> "Ejaculation 1"
"【Sea Dragon Girl】" -> "【Sea Dragon Girl】"
"射精1" -> "Ejaculation 1"
"【Sea Dragon Girl】" -> "【Sea Dragon Girl】"
"射精1" -> "Ejaculation 1"
"射精1" -> "Ejaculation 1"
"【Luka】" -> "【Luka】"
"【Sea Dragon Girl】" -> "【Sea Dragon Girl】"
