"ノビスタドール娘" -> "Novista Doll Musume"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"！！" -> "! !"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"【Novistador Girl A】" -> "【Novistador Girl A】"
"【Novistador Girl B】" -> "【Novistador Girl B】"
"反省会に出る" -> "I am going to a reflection meeting"
"難易度を変更する" -> "Change the difficulty level"
"輪廻に戻る" -> "Back to Ringo"
