"巫女アラクネ" -> "Maiden Arakune"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"♪" -> "♪"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Miko Arachne】" -> "【Miko Arachne】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"反省会に出る" -> "I am going to a reflection meeting"
"【Ilias】" -> "【Ilias】"
"【Ilias】" -> "【Ilias】"
"【Ilias】" -> "【Ilias】"
"【Ilias】" -> "【Ilias】"
"難易度を変更する" -> "Change the difficulty level"
"輪廻に戻る" -> "Back to Ringo"
