"オートマータ娘" -> "Automata daughter"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"【Automata Girl】" -> "【Automata Girl】"
"反省会に出る" -> "I am going to a reflection meeting"
"【イリアス】" -> "【Iliad】"
"性処理用の玩具の使い心地を、存分に堪能したようですね。" -> "It seems that you fully enjoyed the comfort of sex processing toys."
"いっそ、来世も次の来世もその玩具と結ばれてみますか？" -> "Better is the next world and the next life to be connected with that toy?"
"【イリアス】" -> "【Iliad】"
"オートマータ娘は、快楽攻撃を多用してきます。" -> "Automata daughter will heavily use pleasure attacks."
"また自爆で大ダメージを与えてくるので要注意。" -> "It also needs to be careful as it will cause heavy damage by suicide bombing."
"【イリアス】" -> "【Iliad】"
"人形ですので、快楽攻撃は通じにくいです。" -> "Because it is a doll, pleasure attack is hard to communicate."
"また、状態異常はほぼ効かないので注意しましょう。" -> "Also, let's be careful as state anomalies are almost ineffective."
"【イリアス】" -> "【Iliad】"
"よこしまな目的で造られた人形など、破壊してしまうのです。" -> "It is destroyed, such as a doll made for a wicked purpose."
"難易度を変更する" -> "Change the difficulty level"
"輪廻に戻る" -> "Back to Ringo"
