"ウィングハーピー" -> "Wing Happy"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"【Wing Harpy】" -> "【Wing Harpy】"
"反省会に出る" -> "I am going to a reflection meeting"
"難易度を変更する" -> "Change the difficulty level"
"輪廻に戻る" -> "Back to Ringo"
