"サキュバスハーレム" -> "Succubus Harlem"
"【Luka】" -> "【Luka】"
"【Succubus A】" -> "【Succubus A】"
"【Succubus B】" -> "【Succubus B】"
"♪" -> "♪"
"【Succubus C】" -> "【Succubus C】"
"【Succubus D】" -> "【Succubus D】"
"【Luka】" -> "【Luka】"
"【Succubus A】" -> "【Succubus A】"
"【Succubus B】" -> "【Succubus B】"
"♪　Yah" -> "♪ Yah"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Succubus C】" -> "【Succubus C】"
"【Succubus D】" -> "【Succubus D】"
"♪" -> "♪"
"【Succubus A】" -> "【Succubus A】"
"【Succubus A】" -> "【Succubus A】"
"【Luka】" -> "【Luka】"
"【Succubus D】" -> "【Succubus D】"
"【Succubus B】" -> "【Succubus B】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Succubus B】" -> "【Succubus B】"
"【Luka】" -> "【Luka】"
"【Succubus B】" -> "【Succubus B】"
"♪" -> "♪"
"【Succubus A】" -> "【Succubus A】"
"【Succubus A】" -> "【Succubus A】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Succubus B】" -> "【Succubus B】"
"♪" -> "♪"
"♪" -> "♪"
"【Succubus A】" -> "【Succubus A】"
"【Succubus C】" -> "【Succubus C】"
"【Succubus D】" -> "【Succubus D】"
"【Succubus B】" -> "【Succubus B】"
"【Luka】" -> "【Luka】"
"【Succubus A】" -> "【Succubus A】"
"【Luka】" -> "【Luka】"
"【Succubus B】" -> "【Succubus B】"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Succubus C】" -> "【Succubus C】"
"【Succubus B】" -> "【Succubus B】"
"♪ Hora" -> "♪ Hora"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Succubus D】" -> "【Succubus D】"
"【Succubus B】" -> "【Succubus B】"
"♪" -> "♪"
"【Succubus C】" -> "【Succubus C】"
"【Succubus B】" -> "【Succubus B】"
"♪" -> "♪"
"【Succubus A】" -> "【Succubus A】"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Succubus B】" -> "【Succubus B】"
"【Succubus A】" -> "【Succubus A】"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Succubus B】" -> "【Succubus B】"
"【Succubus D】" -> "【Succubus D】"
"【Succubus B】" -> "【Succubus B】"
"【Succubus C】" -> "【Succubus C】"
"♪" -> "♪"
"【Succubus D】" -> "【Succubus D】"
"♪" -> "♪"
"【Succubus A】" -> "【Succubus A】"
"【Luka】" -> "【Luka】"
"反省会に出る" -> "I am going to a reflection meeting"
"【Ilias】" -> "【Ilias】"
"【Ilias】" -> "【Ilias】"
"【Ilias】" -> "【Ilias】"
"【Ilias】" -> "【Ilias】"
"難易度を変更する" -> "Change the difficulty level"
"輪廻に戻る" -> "Back to Ringo"
