"ジャイガンテック娘" -> "Mr. Jaigantech girl"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"♪" -> "♪"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"♪" -> "♪"
"♪" -> "♪"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"♪" -> "♪"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"【Gigantic Girl】" -> "【Gigantic Girl】"
"反省会に出る" -> "I am going to a reflection meeting"
"難易度を変更する" -> "Change the difficulty level"
"輪廻に戻る" -> "Back to Ringo"
