"コンキスタ" -> "A conister"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"【Conquista】" -> "【Conquista】"
"反省会に出る" -> "I am going to a reflection meeting"
"【Ilias】" -> "【Ilias】"
"【Ilias】" -> "【Ilias】"
"【Ilias】" -> "【Ilias】"
"【Ilias】" -> "【Ilias】"
"難易度を変更する" -> "Change the difficulty level"
"輪廻に戻る" -> "Back to Ringo"
