"エデン" -> "Eden"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"【Eden】" -> "【Eden】"
"反省会に出る" -> "I am going to a reflection meeting"
"エデンに倒された……えっ、人型のエデンですか？" -> "Eden was overthrown ... .... Er, is the humanoid of Eden?"
"いったいどういう因果で戦ったのです……" -> "What on earth did you fight with ...?"
"難易度を変更する" -> "Change the difficulty level"
"輪廻に戻る" -> "Back to Ringo"
