"ルシフィナちゃん" -> "Lucifina"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"♪" -> "♪"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"♪　Coooome" -> "♪ Coooome"
"♪" -> "♪"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"♪" -> "♪"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"♪" -> "♪"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"♪" -> "♪"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"♪" -> "♪"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"♪" -> "♪"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"♪" -> "♪"
"♪" -> "♪"
"【Lucifina" -> "【Lucifina"
"】" -> "】"
"♪" -> "♪"
