"ノビスタドール娘2" -> "Novista Doll Musume 2"
"【Novy】" -> "【Novy】"
"【Novy】" -> "【Novy】"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
"！！" -> "! !"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
"【Novy A】" -> "【Novy A】"
"【Novy B】" -> "【Novy B】"
