"ハイミノタウロス1" -> "Hi Minotaur 1"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"……" -> "... ...."
"【Carol】" -> "【Carol】"
"そ、そんな……" -> "Sounds like that ... ...."
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"♪" -> "♪"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
"【Carol】" -> "【Carol】"
