"ミズタウロス1" -> "Misutaros 1"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"♪" -> "♪"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"！" -> "!"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"♪" -> "♪"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"♪" -> "♪"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"♪" -> "♪"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"♪" -> "♪"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
"♪" -> "♪"
"【Odette】" -> "【Odette】"
"【Odette】" -> "【Odette】"
