"マジカルピクシー" -> "Magical Pixie"
"【Magical Pixie】" -> "【Magical Pixie】"
"【Magical Pixie】" -> "【Magical Pixie】"
"♪" -> "♪"
"【Magical Pixie】" -> "【Magical Pixie】"
"【Magical Pixie】" -> "【Magical Pixie】"
"♪" -> "♪"
"【Magical Pixie】" -> "【Magical Pixie】"
"【Magical Pixie】" -> "【Magical Pixie】"
"【Magical Pixie】" -> "【Magical Pixie】"
"♪" -> "♪"
"♪" -> "♪"
"【Magical Pixie】" -> "【Magical Pixie】"
"【Magical Pixie】" -> "【Magical Pixie】"
"♪" -> "♪"
"♪" -> "♪"
"【Magical Pixie】" -> "【Magical Pixie】"
"♪" -> "♪"
"♪" -> "♪"
"【Magical Pixie】" -> "【Magical Pixie】"
"♪" -> "♪"
"【Magical Pixie】" -> "【Magical Pixie】"
"♪" -> "♪"
"♪" -> "♪"
"【Magical Pixie】" -> "【Magical Pixie】"
"♪" -> "♪"
"♪" -> "♪"
"【Magical Pixie】" -> "【Magical Pixie】"
"♪" -> "♪"
"【Magical Pixie】" -> "【Magical Pixie】"
"♪" -> "♪"
"・・・・・・・・" -> "· · · · · ·"
