"ゼラチナスキューブ娘1" -> "Gelatinous cube girl 1"
"【Marge】" -> "【Marge】"
"【Marge】" -> "【Marge】"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"！！" -> "! !"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
