"ゼラチナスキューブ娘2" -> "Geratinous Cube Musume 2"
"【Marge】" -> "【Marge】"
"【Marge】" -> "【Marge】"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"！" -> "!"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"！！" -> "! !"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
"♪" -> "♪"
"【Marge】" -> "【Marge】"
"♪" -> "♪"
