"保留：ツィンケル" -> "Pending: Zinkel"
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ルカ】" -> "【Luke】"
"う、うん……お願い……" -> "Well, yeah ... please ..."
"こうして僕は、個室へと招き入れられた――" -> "In this way I was invited into a private room -"
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
"【ツィンケル】" -> "【Zinkel】"
"……" -> "... ...."
