"タイタニア5" -> "Titania 5"
"【Titania】" -> "【Titania】"
"【Titania】" -> "【Titania】"
"♪" -> "♪"
"【Titania】" -> "【Titania】"
"♪" -> "♪"
"【Titania】" -> "【Titania】"
"♪　Yaay" -> "♪ Yaay"
"♪　Penis" -> "♪ Penis"
"♪" -> "♪"
"♪" -> "♪"
"【Titania】" -> "【Titania】"
"♪" -> "♪"
"♪" -> "♪"
"【Titania】" -> "【Titania】"
"♪ Drool is leaking out" -> "♪ Drool is leaking out"
"♪" -> "♪"
"【Titania】" -> "【Titania】"
"♪" -> "♪"
"【Titania】" -> "【Titania】"
"♪　You can do it" -> "♪ You can do it"
"♪　Keep it up" -> "♪ Keep it up"
"♪" -> "♪"
"【Titania】" -> "【Titania】"
"【Titania】" -> "【Titania】"
"♪　Yay" -> "♪ Yay"
"♪" -> "♪"
"♪" -> "♪"
"【Titania】" -> "【Titania】"
"♪" -> "♪"
"【Titania】" -> "【Titania】"
"♪" -> "♪"
"【Titania】" -> "【Titania】"
"♪" -> "♪"
