"ワープアイテム" -> "Warp items"
"基本経験値上昇 3000" -> "Basic Experience Rise Increase 3000"
"基本経験値上昇 15000" -> "Basic Experience Rise Increase 15000"
"基本経験値上昇 75000" -> "Basic Experience Rise Increase 75000"
"基本経験値上昇 200000" -> "Basic Experience Rise Increase 200000"
"職業経験値上昇 50" -> "Vocational experience rise 50"
"職業経験値上昇 200" -> "Vocational experience rise 200"
"職業経験値上昇 600" -> "Vocational experience rise 600"
"職業経験値上昇 1500" -> "Employment experience rise 1500"
"種族経験値上昇 50" -> "Tribal experience value increase 50"
"種族経験値上昇 200" -> "Tribal experience value increase 200"
"種族経験値上昇 600" -> "Tribal experience value increase 600"
"種族経験値上昇 1500" -> "Tribal Experience Rise Increase 1500"
"　Target" -> "Target"
"　Target" -> "Target"
"　Target" -> "Target"
"　Target" -> "Target"
"投擲専用" -> "Throwing only"
"スキル命中率" -> "Skill Accuracy"
"投擲専用" -> "Throwing only"
"スキル命中率" -> "Skill Accuracy"
"投擲専用" -> "Throwing only"
"スキル命中率" -> "Skill Accuracy"
"投擲専用" -> "Throwing only"
"スキル命中率" -> "Skill Accuracy"
"投擲専用" -> "Throwing only"
"スキル命中率" -> "Skill Accuracy"
"投擲専用" -> "Throwing only"
"スキル命中率" -> "Skill Accuracy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"Éclair" -> "Éclair"
"特殊売却" -> "Special sale"
"ちぃぱっぱはいらないよ……" -> "I do not need Chihpa ......"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"海賊王の証" -> "Proof of King Pirate"
"【転職用】所持していれば「海賊王」「海軍大将」に転職できる" -> "【For job change】 If you possess, you can change to \"Pirate King\" \"General Navy\""
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"御菊蟲 Milk" -> "Miku Oki"
"御菊蟲" -> "Mikoshi"
"ži Dahāka Milk" -> "ži Dahāka Milk"
"ži Dahāka" -> "ži Dahāka"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1002" -> "Secret stone capability armor 1002"
