"明かり設定3000800" -> "Light setting 3000800"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
