"次のフロアに進みますか？" -> "Would you like to go to the next floor?"
"まだ行かない" -> "I have not gone yet."
"次のフロアに進む" -> "Proceed to the next floor"
"【ラミア】" -> "【Lamia】"
"きゃっ！？" -> "Cash! What?"
"ラミアは泉に落ちてしまった！" -> "Lamia has fallen into the fountain!"
"【イリアス】" -> "【Iliad】"
"私は泉の女神……" -> "I am a goddess of fountain ......"
"神聖なる泉に、ずいぶんつまらないものを落としたようですね。" -> "You seem to have dropped a lot of foolish things on the sacred spring."
"【イリアス】" -> "【Iliad】"
"あなたが落としたのは、この残念なラミアですか？" -> "Is this sorry Lamia that you dropped?"
"【アミラ】" -> "【Amira】"
"あら、こんにちは。" -> "Oh, hello there."
"意外なところで会ったわね。" -> "I met him in an unexpected place."
"【イリアス】" -> "【Iliad】"
"それとも、普通のラミアですか？" -> "Or is ordinary Lamia?"
"【ラミア】" -> "【Lamia】"
"ちょっと、何なのよこれ！" -> "Hey, what is this!"
"早く私を助けなさいよー！" -> "Please help me as soon as possible!"
"【イリアス】" -> "【Iliad】"
"もしくは、高価なラミアですか？" -> "Or is it an expensive lamia?"
"【白蛇様】" -> "【White Snake】"
"これは、いったい何事ぞ？" -> "What on earth is this?"
"【イリアス】" -> "【Iliad】"
"さあ、正直に答えるのです……" -> "Now, answer honestly ..."
"あなたの落としたラミアは、どれですか？" -> "Which Lamia you dropped?"
"残念なラミア" -> "Unfortunate Lamia"
"普通のラミア" -> "Ordinary Lamia"
"高価なラミア" -> "Expensive Lamia"
"【アミラ】" -> "【Amira】"
"私を選ぶなんて感激よー！" -> "I am deeply to choose me!"
"【イリアス】" -> "【Iliad】"
"なんと、あなたは謙虚なのですね……" -> "How, you are humble ..."
"その身を守る、素晴らしい防具を授けましょう。" -> "Protect yourself, give it a wonderful armor."
"【ラミア】" -> "【Lamia】"
"そう、それでいいの。" -> "Yes, that's fine."
"正直に答えてくれて、良かったわ。" -> "It was good that I answered honestly."
"【イリアス】" -> "【Iliad】"
"あなたは正直者なのですね……" -> "You are an honest man ..."
"清き心の持ち主には、素晴らしい武器を授けましょう。" -> "Let a great weapon be given to the owner of a clean heart."
"【白蛇様】" -> "【White Snake】"
"なんぞ……？　妾には心当たりがないが……" -> "What ...? I do not recognize myself ... ..."
"【イリアス】" -> "【Iliad】"
"嘘を吐きましたね……" -> "You lost a lie ... ..."
"欲にまみれたあなたは、苦難の道を辿るでしょう。" -> "You will be followed by greed, you will follow the path of suffering."
"ダンジョンに登場する敵の強さが上がった！" -> "The strength of the enemy appearing in the dungeon rose!"
"【イリアス】" -> "【Iliad】"
"しかし、ピンチこそチャンス……" -> "But pinch is the only chance ......"
"敵の強さが上がった影響で、レア度も上がったようですね。" -> "It seems that the degree of raise has also increased as the strength of the enemy rose."
"レアポイントが30アップ！" -> "Rare points up 30!"
"（現在のレアポイント：" -> "(Current rare point:"
"）" -> ")"
"レアポイントが150アップ！" -> "Rare points up 150!"
"（現在のレアポイント：" -> "(Current rare point:"
"）" -> ")"
"【イリアス】" -> "【Iliad】"
"それでは行きなさい、勇者ルカ。" -> "Let's go then, brave Luca."
"これからも、私のために尽くすのですよ……" -> "From now on, I will do my best ..."
"【ソニア】" -> "【Sonia】"
"泉に落ちたラミア、戻って来なかったね……" -> "Lamiah who fell into a fountain, did not come back ..."
"【サキュバス】" -> "【Succubus】"
"びっくり……！" -> "Surprised ... ...!"
"サキュバスは泉に落ちてしまった！" -> "Succubus has fallen into the fountain!"
"【イリアス】" -> "【Iliad】"
"私は泉の女神……" -> "I am a goddess of fountain ......"
"神聖なる泉に、ずいぶんつまらないものを落としたようですね。" -> "You seem to have dropped a lot of foolish things on the sacred spring."
"【イリアス】" -> "【Iliad】"
"あなたが落としたのは、この残念な淫魔ですか？" -> "Is this sorry demon you dropped?"
"【エヴァ】" -> "【Eva】"
"ねぇ、私を指名しなさいよ！" -> "Hey, please name me!"
"お返しに、いいコトしてあげるから！" -> "In return, I will do a good job!"
"【イリアス】" -> "【Iliad】"
"それとも、普通の淫魔ですか？" -> "Or is it an ordinary demon?"
"【サキュバス】" -> "【Succubus】"
"あらあら、せっかくの服がズブ濡れね……" -> "Oh no, my clothes are soaking wet ..."
"もちろん、助けてくれるわよね？" -> "Of course, you can help me, do not you?"
"【イリアス】" -> "【Iliad】"
"もしくは、高価な淫魔ですか？" -> "Or is it an expensive devil?"
"【アルマエルマ】" -> "【Almaelma】"
"高価って、私をモノみたいに……" -> "Expensive, like me to ... ..."
"ともかく、当然私を選んでくれるわよね♪" -> "In any case, of course you choose me ♪"
"【イリアス】" -> "【Iliad】"
"さあ、正直に答えるのです……" -> "Now, answer honestly ..."
"あなたの落とした淫魔は、どれですか？" -> "Which is your mischief that you dropped?"
"残念な淫魔" -> "Shame regret"
"普通の淫魔" -> "Ordinary bad luck"
"高価な淫魔" -> "Expensive devil"
"【エヴァ】" -> "【Eva】"
"やったぁ、助けてくれるの？" -> "You did it, will you help me?"
"やっぱり世の中、チョロイわよねー♪" -> "After all, Chocolate in the world, ♪"
"【イリアス】" -> "【Iliad】"
