"図鑑" -> "An illustration"
"防具データ設定セクション by Foo" -> "Armor data setting section by Foo"
"図鑑の防具の項に表示する内容を設定します。" -> "Set contents to be displayed in armor section of the book."
"更新履歴" -> "Change log"
"新設" -> "Newly established"
"■ NWConst" -> "■ NWConst"
"防具入手場所" -> "Protective access location"
"文字列はシンボルで統一してください" -> "Please unify strings with symbols"
"イリアスヴィルの裏山" -> "Backyard of Iliasville"
"イリアスヴィル" -> "Iliasville"
"イリナ山地北の洞窟" -> "Cave in the north of Irina mountains"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"エンリカ" -> "Enrica"
"レムズ海岸" -> "Remus Coast"
"ナタリアポート" -> "Natalia port"
"サン・イリア" -> "Saint Ilia"
"サバサ" -> "Sabasa"
"グランドノア" -> "Grand Noah"
"精霊の森" -> "Spirit forest"
"モンテカルロ" -> "Monte Carlo"
"カジノ景品（グランドール）" -> "Casino prize (Grand D'Or)"
"メダル女王の城" -> "Queen's Castle"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"プランセクト村" -> "Plan Sakt village"
"妖精の島" -> "Fairy Island"
"スノウヘブン" -> "Snow Haven"
"イリアスヴィル" -> "Iliasville"
"試しの洞窟" -> "Trial cave"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ポルノフ鉱山" -> "Pornov mine"
"ハピネス村" -> "Happiness Village"
"ミダス村" -> "Midas Village"
"イリアスポート" -> "Ilias port"
"イリアスポート" -> "Ilias port"
"ポルノフ" -> "Pornov"
"サン・イリア" -> "Saint Ilia"
"サバサ" -> "Sabasa"
"グランドール" -> "Grand Doll"
"グランドノア" -> "Grand Noah"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"サキュバスの村" -> "Succubus village"
"ゴルド東の大毒沼" -> "The venomous swamp of Gordo East"
"ゴルドポート" -> "Gordport"
"スノウヘブン" -> "Snow Haven"
"ポルノフ" -> "Pornov"
"タルタロス（イリアス大陸南）" -> "Tartarus (Ilias Continental South)"
"ハピネス村" -> "Happiness Village"
"ミダス村" -> "Midas Village"
"エンリカ" -> "Enrica"
"ナタリアポート" -> "Natalia port"
"ナタリア海岸" -> "Natalia Coast"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"海軍本部" -> "Navy headquarters"
"グランドノア" -> "Grand Noah"
"プランセクト村" -> "Plan Sakt village"
"ゴルド海岸" -> "Gordes Coast"
"ゴルドポート" -> "Gordport"
"悪夢の荒野" -> "The nightmare wilderness"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"レミナ（異世界）" -> "Remina (another world)"
"ポケット魔王城" -> "Pocket Maiden Castle"
"イリアスヴィル" -> "Iliasville"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ポルノフ" -> "Pornov"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"イリアスポート" -> "Ilias port"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"グランドール" -> "Grand Doll"
"海軍本部" -> "Navy headquarters"
"グランドノア" -> "Grand Noah"
"グランゴルド" -> "Grangold"
"グランゴルド" -> "Grangold"
"妖精の島" -> "Fairy Island"
"スノウヘブン" -> "Snow Haven"
"ミダス村" -> "Midas Village"
"南の海底神殿" -> "Temple at the bottom of the south"
"南の海底神殿" -> "Temple at the bottom of the south"
"サン・イリア" -> "Saint Ilia"
"聖山アモス" -> "Seiyama Amos"
"サン・イリア" -> "Saint Ilia"
"精霊の森" -> "Spirit forest"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"グランドール" -> "Grand Doll"
"ピラミッド" -> "pyramid"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"サルーン廃鉱" -> "Saloon disposal"
"海軍本部" -> "Navy headquarters"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"オロチの洞" -> "Orochi no dong"
"プランセクト村" -> "Plan Sakt village"
"ゴルド砦" -> "Fort Gordes"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"ゴルドポート" -> "Gordport"
"溶岩鉱窟" -> "Lava cave"
"妖精の島" -> "Fairy Island"
"世界樹" -> "World Tree"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"レミナ（異世界）" -> "Remina (another world)"
"スノウヘブン" -> "Snow Haven"
"ポケット魔王城" -> "Pocket Maiden Castle"
"タルタロス（ヘルゴンド大陸西）" -> "Tartarus (Helgond Continent West)"
"魔王城" -> "Devil's castle"
"イリナ山地南の洞窟" -> "Cave in the southern Irina mountains"
"ポルノフ" -> "Pornov"
"ポルノフ" -> "Pornov"
"ミダス村" -> "Midas Village"
"ミダス廃鉱" -> "Midas Offshore"
"イリアスポート" -> "Ilias port"
"サン・イリア" -> "Saint Ilia"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"ゴルドポート" -> "Gordport"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"ライラの大滝" -> "Lila's Otaki"
"レミナ（異世界）" -> "Remina (another world)"
"ポケット魔王城" -> "Pocket Maiden Castle"
"イリアスヴィル" -> "Iliasville"
"タラスの丘" -> "Taras Hill"
"イリアスベルク" -> "Iliasberg"
"ハピネス村" -> "Happiness Village"
"イリアスポート" -> "Ilias port"
"ハピネス村" -> "Happiness Village"
"エンリカ" -> "Enrica"
"サン・イリア" -> "Saint Ilia"
"サバサ" -> "Sabasa"
"モンテカルロ" -> "Monte Carlo"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"秘宝の洞窟" -> "Cave of the treasure"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"グランドール" -> "Grand Doll"
"海軍本部" -> "Navy headquarters"
"大海賊の洞窟" -> "Great Pirate's Cave"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"レミナ（異世界）" -> "Remina (another world)"
"吸血鬼の魔城" -> "Vampire's Devil"
"スノウヘブン" -> "Snow Haven"
"創世の館" -> "House of Genesis"
"イリアスベルク" -> "Iliasberg"
"ハピネス村" -> "Happiness Village"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"ナタリアポート" -> "Natalia port"
"サバサ" -> "Sabasa"
"グランドール" -> "Grand Doll"
"グランドノア" -> "Grand Noah"
"ウンディーネの泉" -> "Fountain of Undine"
"グランゴルド" -> "Grangold"
"メダル女王の城" -> "Queen's Castle"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"ヘルゴンドの洞窟" -> "Helgond's cave"
"カジノ景品（ポルノフ）" -> "Casino prize (pornoff)"
"カジノ景品（ポルノフ）" -> "Casino prize (pornoff)"
"ナタリアポート" -> "Natalia port"
"ナタリアポート" -> "Natalia port"
"幽霊船" -> "A ghost ship"
"サン・イリア" -> "Saint Ilia"
"グランドール" -> "Grand Doll"
"リリィの館" -> "House of Lily"
"カジノ景品（グランドール）" -> "Casino prize (Grand D'Or)"
"マールポート" -> "Marlport"
"サファル砂漠遺跡" -> "Safar desert ruins"
"幽霊船" -> "A ghost ship"
"ゴルドポート" -> "Gordport"
"幽霊船" -> "A ghost ship"
"サキュバスの村" -> "Succubus village"
"忘れられし塔" -> "Forgotten tower"
"妖精の島" -> "Fairy Island"
"カジノ景品（ポケット魔王城）" -> "Casino Premium (Pocket Magus Castle)"
"スノウヘブン" -> "Snow Haven"
"雪越えの洞窟" -> "Cave over the snow"
"イリアス神殿跡" -> "Temple of Ilias"
"メダル女王の城" -> "Queen's Castle"
"イリアスヴィルの裏山" -> "Backyard of Iliasville"
"イリアスヴィル" -> "Iliasville"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"ポルノフ鉱山" -> "Pornov mine"
"ハピネス村" -> "Happiness Village"
"ナメクジタワー" -> "Slugs Tower"
"ミダス村" -> "Midas Village"
"エンリカ" -> "Enrica"
"ロストルム山地洞窟" -> "Lostrum Mountain Cave"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"サン・イリア" -> "Saint Ilia"
"サバサ" -> "Sabasa"
"地下図書館" -> "Underground library"
"モンテカルロ" -> "Monte Carlo"
"グランドール" -> "Grand Doll"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"ヤマタイへの洞窟" -> "Cave to Yamathi"
"プランセクト村" -> "Plan Sakt village"
"ゴルドポート" -> "Gordport"
"イリアスベルク" -> "Iliasberg"
"イリアスポート" -> "Ilias port"
"ポルノフ" -> "Pornov"
"イリアスポート" -> "Ilias port"
"秘宝の洞窟" -> "Cave of the treasure"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"カルロスの丘" -> "Carlos Hill"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"マールポート" -> "Marlport"
"妖精の島" -> "Fairy Island"
"ミダス村" -> "Midas Village"
"サン・イリア" -> "Saint Ilia"
"古代神殿跡" -> "Ancient temple ruins"
"サン・イリア" -> "Saint Ilia"
"サバサ" -> "Sabasa"
"恵みのオアシス" -> "Oasis of grace"
"グランドール" -> "Grand Doll"
"サルーンの丘" -> "Saloon Hill"
"サルーン" -> "saloon"
"海軍本部" -> "Navy headquarters"
"グランドノア" -> "Grand Noah"
"化石鉱山" -> "Fossil mine"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"オロチの洞" -> "Orochi no dong"
"プランセクト村" -> "Plan Sakt village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"進軍の丘" -> "Advancing Hill"
"ゴルドポート" -> "Gordport"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"人形遣いの塔" -> "Tower of puppeteers"
"ヤマタイ村" -> "Yamathai Village"
"レミナ（異世界）" -> "Remina (another world)"
"スノウヘブン" -> "Snow Haven"
"魔王城（異世界）" -> "Demon castle (another world)"
"ポケット魔王城" -> "Pocket Maiden Castle"
"魔王城" -> "Devil's castle"
"イリアスベルク" -> "Iliasberg"
"イリナ山地南の洞窟" -> "Cave in the southern Irina mountains"
"イリアスポート" -> "Ilias port"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"ミダス村" -> "Midas Village"
"エンリカ" -> "Enrica"
"タルタロス（イリアス大陸東）" -> "Tartarus (Elias continent east)"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"南の海底神殿" -> "Temple at the bottom of the south"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"グランドール" -> "Grand Doll"
"サルーン" -> "saloon"
"サファル砂漠遺跡" -> "Safar desert ruins"
"海軍本部" -> "Navy headquarters"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"迷宮への洞窟" -> "A cave to a labyrinth"
"ヤマタイ村" -> "Yamathai Village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"孤独の地" -> "The land of solitude"
"ヤマタイ村" -> "Yamathai Village"
"レミナ（異世界）" -> "Remina (another world)"
"ポケット魔王城" -> "Pocket Maiden Castle"
"魔王城" -> "Devil's castle"
"バイオラボ" -> "Biolab"
"カジノ景品（ポルノフ）" -> "Casino prize (pornoff)"
"ハーピーの塔" -> "Tower of Harpy"
"ミダス村" -> "Midas Village"
"エンリカ" -> "Enrica"
"ナタリアポート" -> "Natalia port"
"サン・イリア" -> "Saint Ilia"
"秘宝の洞窟" -> "Cave of the treasure"
"サン・イリア" -> "Saint Ilia"
"サバサ" -> "Sabasa"
"カジノ景品（グランドール）" -> "Casino prize (Grand D'Or)"
"ピラミッド" -> "pyramid"
"海軍本部" -> "Navy headquarters"
"グランゴルド" -> "Grangold"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"メダル女王の城" -> "Queen's Castle"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"タルタロス（イリアス大陸南）" -> "Tartarus (Ilias Continental South)"
"イリアスポート" -> "Ilias port"
"サバサ" -> "Sabasa"
"妖精の島" -> "Fairy Island"
"世界樹" -> "World Tree"
"メダル女王の城" -> "Queen's Castle"
"イリアスヴィル" -> "Iliasville"
"イリアスベルク" -> "Iliasberg"
"イリナ山地南の洞窟" -> "Cave in the southern Irina mountains"
"イリアスポート" -> "Ilias port"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"秘宝の洞窟" -> "Cave of the treasure"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"グランドール" -> "Grand Doll"
"海軍本部" -> "Navy headquarters"
"ヤマタイ村" -> "Yamathai Village"
"ウンディーネの泉" -> "Fountain of Undine"
"カジノ景品（ポケット魔王城）" -> "Casino Premium (Pocket Magus Castle)"
"魔王城（異世界）" -> "Demon castle (another world)"
"ミダス村" -> "Midas Village"
"エンリカ" -> "Enrica"
"エンリカ" -> "Enrica"
"レムズ海岸" -> "Remus Coast"
"イリアスポート" -> "Ilias port"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"北のお化け屋敷" -> "North haunted house"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"グランドール" -> "Grand Doll"
"ピラミッド" -> "pyramid"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"海軍本部" -> "Navy headquarters"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"ヤマタイへの洞窟" -> "Cave to Yamathi"
"オロチの洞" -> "Orochi no dong"
"プランセクト村" -> "Plan Sakt village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"ゴルドポート" -> "Gordport"
"ゴルドポート" -> "Gordport"
"ゴルド火山洞窟" -> "Gordo Volcano Cave"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
