"図鑑" -> "An illustration"
"アイテムデータ設定セクション by Foo" -> "Item data setting section by Foo"
"図鑑のアイテムの項に表示する内容を設定します。" -> "Set the contents to be displayed in the item section of the picture book."
"更新履歴" -> "Change log"
"新設" -> "Newly established"
"■ NWConst" -> "■ NWConst"
"アイテム入手場所" -> "Item acquisition place"
"文字列はシンボルで統一してください" -> "Please unify strings with symbols"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"カジノ景品（ポルノフ）" -> "Casino prize (pornoff)"
"スノウヘブン" -> "Snow Haven"
"ポケット魔王城" -> "Pocket Maiden Castle"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"ナメクジタワー" -> "Slugs Tower"
"聖山アモス" -> "Seiyama Amos"
"カジノ景品（グランドール）" -> "Casino prize (Grand D'Or)"
"サファル砂漠遺跡" -> "Safar desert ruins"
"世界樹" -> "World Tree"
"イリアス神殿跡" -> "Temple of Ilias"
"レミナ研究所" -> "Remina Laboratories"
"妖精の島（魔界）" -> "Fairy Island (Makai)"
"精霊の森（魔界）" -> "Forest of the Spirit (Makai)"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"各地" -> "Various places"
"ロストルム村（異世界）" -> "Lostrum village (another world)"
"グランゴルド" -> "Grangold"
"各地" -> "Various places"
"ロストルム村（異世界）" -> "Lostrum village (another world)"
"グランゴルド" -> "Grangold"
"各地" -> "Various places"
"ロストルム村（異世界）" -> "Lostrum village (another world)"
"グランゴルド" -> "Grangold"
"各地" -> "Various places"
"ラダイト村" -> "Laddite village"
"プランセクト村" -> "Plan Sakt village"
"各地" -> "Various places"
"ラダイト村" -> "Laddite village"
"プランセクト村" -> "Plan Sakt village"
"各地" -> "Various places"
"ラダイト村" -> "Laddite village"
"プランセクト村" -> "Plan Sakt village"
"各地" -> "Various places"
"カオスフィールド" -> "Chaos Field"
"グランドール" -> "Grand Doll"
"ヤマタイ村" -> "Yamathai Village"
"各地" -> "Various places"
"マギステア村" -> "Magistea village"
"ヤマタイ村" -> "Yamathai Village"
"各地" -> "Various places"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"サン・イリア" -> "Saint Ilia"
"サバサ" -> "Sabasa"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"ポケット魔王城" -> "Pocket Maiden Castle"
"サルーン" -> "saloon"
"グランドノア" -> "Grand Noah"
"ヤマタイへの洞窟" -> "Cave to Yamathi"
"ゴルドポート" -> "Gordport"
"幽霊船" -> "A ghost ship"
"妖精の島" -> "Fairy Island"
"孤独の地" -> "The land of solitude"
"ヘルゴンドの洞窟（異世界）" -> "Helgond's cave (another world)"
"氷の館" -> "Ice House"
"ポケット魔王城" -> "Pocket Maiden Castle"
"魔王城" -> "Devil's castle"
"グランドノア" -> "Grand Noah"
"グランゴルド" -> "Grangold"
"サキュバスの村" -> "Succubus village"
"ヤマタイ村" -> "Yamathai Village"
"スノウヘブン" -> "Snow Haven"
"ポケット魔王城" -> "Pocket Maiden Castle"
"ポルノフ鉱山" -> "Pornov mine"
"ミダス廃鉱" -> "Midas Offshore"
"聖山アモス" -> "Seiyama Amos"
"サルーン廃鉱" -> "Saloon disposal"
"化石鉱山" -> "Fossil mine"
"溶岩鉱窟" -> "Lava cave"
"世界樹" -> "World Tree"
"魔王城" -> "Devil's castle"
"試しの洞窟" -> "Trial cave"
"ナメクジタワー" -> "Slugs Tower"
"タラスの丘" -> "Taras Hill"
"タラスの丘" -> "Taras Hill"
"イリナ山地北の洞窟" -> "Cave in the north of Irina mountains"
"イリナ山地南の洞窟" -> "Cave in the southern Irina mountains"
"ナメクジタワー" -> "Slugs Tower"
"タルタロス（イリアス大陸南）" -> "Tartarus (Ilias Continental South)"
"ハーピーの塔" -> "Tower of Harpy"
"ハーピーの塔" -> "Tower of Harpy"
"迷いの森" -> "Forest of Lost"
"迷いの森" -> "Forest of Lost"
"ロストルム山地洞窟" -> "Lostrum Mountain Cave"
"ナタリア海岸" -> "Natalia Coast"
"タルタロス（イリアス大陸東）" -> "Tartarus (Elias continent east)"
"秘宝の洞窟" -> "Cave of the treasure"
"秘宝の洞窟" -> "Cave of the treasure"
"秘宝の洞窟" -> "Cave of the treasure"
"ナタリア海岸" -> "Natalia Coast"
"ナタリア海岸" -> "Natalia Coast"
"聖山アモス" -> "Seiyama Amos"
"聖山アモス" -> "Seiyama Amos"
"地下図書館" -> "Underground library"
"ラダイト村" -> "Laddite village"
"ラダイト村" -> "Laddite village"
"古代神殿跡" -> "Ancient temple ruins"
"古代神殿跡" -> "Ancient temple ruins"
"北のお化け屋敷" -> "North haunted house"
"北のお化け屋敷" -> "North haunted house"
"カルロスの丘" -> "Carlos Hill"
"精霊の森" -> "Spirit forest"
"求道者の洞窟" -> "Candidor's Cave"
"カルロスの丘" -> "Carlos Hill"
"恵みのオアシス" -> "Oasis of grace"
"恵みのオアシス" -> "Oasis of grace"
"ピラミッド" -> "pyramid"
"ピラミッド" -> "pyramid"
"魔導の塔" -> "Magical Tower"
"魔導の塔" -> "Magical Tower"
"サルーン廃鉱" -> "Saloon disposal"
"タルタロス（サバサ大陸北）" -> "Tartarus (Sabasa Continental North)"
"タルタロス（サバサ大陸北）" -> "Tartarus (Sabasa Continental North)"
"管理者の塔" -> "Administrator's tower"
"サファル砂漠遺跡" -> "Safar desert ruins"
"大海賊の洞窟" -> "Great Pirate's Cave"
"大海賊の洞窟" -> "Great Pirate's Cave"
"大海賊の洞窟" -> "Great Pirate's Cave"
"化石鉱山" -> "Fossil mine"
"ヤマタイへの洞窟" -> "Cave to Yamathi"
"魔導学園" -> "Magisterium school"
"魔導学園" -> "Magisterium school"
"ヤマタイへの洞窟" -> "Cave to Yamathi"
"ヤマタイへの洞窟" -> "Cave to Yamathi"
"オロチの洞" -> "Orochi no dong"
"オロチの洞" -> "Orochi no dong"
"ミノタウロスの迷宮" -> "Labyrinth of Minotaur"
"レド山" -> "Mount Ledo"
"ミノタウロスの迷宮" -> "Labyrinth of Minotaur"
"プランセクト村" -> "Plan Sakt village"
"レド山" -> "Mount Ledo"
"ウンディーネの泉" -> "Fountain of Undine"
"リマ村廃墟" -> "Lima village ruins"
"進軍の丘" -> "Advancing Hill"
"ゴルド東の大毒沼" -> "The venomous swamp of Gordo East"
"進軍の丘" -> "Advancing Hill"
"ゴルド火山洞窟" -> "Gordo Volcano Cave"
"吸血鬼の城" -> "Vampire castle"
"滅びの地" -> "The land of destruction"
"幽霊船" -> "A ghost ship"
"幽霊船" -> "A ghost ship"
"北の海底神殿" -> "Temple at the bottom of the north"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"忘れられし塔" -> "Forgotten tower"
"孤独の地" -> "The land of solitude"
"世界樹" -> "World Tree"
"人形遣いの塔" -> "Tower of puppeteers"
"ライラの大滝" -> "Lila's Otaki"
"タルタロス（ゴルド大陸西）" -> "Tartarus (Gordian continent West)"
"ヘルゴンドの洞窟（異世界）" -> "Helgond's cave (another world)"
"魔王城（異世界）" -> "Demon castle (another world)"
"魔王城（異世界）" -> "Demon castle (another world)"
"魔王城（異世界）" -> "Demon castle (another world)"
"タルタロス（ゴルド大陸西）" -> "Tartarus (Gordian continent West)"
"聖山アモス" -> "Seiyama Amos"
"雪越えの洞窟" -> "Cave over the snow"
"雪のほこら" -> "Snowy spear"
"イリアス神殿跡" -> "Temple of Ilias"
"魔王城" -> "Devil's castle"
"魔王城" -> "Devil's castle"
"タルタロス（ヘルゴンド大陸西）" -> "Tartarus (Helgond Continent West)"
"ハピネス村" -> "Happiness Village"
"グランドール" -> "Grand Doll"
