"図鑑" -> "An illustration"
"武器データ設定セクション by Foo" -> "Weapon data setting section by Foo"
"図鑑の武器の項に表示する内容を設定します。" -> "Set the content to be displayed in the weapon section of the illustration."
"更新履歴" -> "Change log"
"設定項目の移動" -> "Move setting items"
"新設" -> "Newly established"
"■ NWConst" -> "■ NWConst"
"武器入手場所" -> "Where to get weapons"
"文字列はシンボルで統一してください" -> "Please unify strings with symbols"
"イリアスヴィル" -> "Iliasville"
"イリアスベルク" -> "Iliasberg"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ポルノフ鉱山" -> "Pornov mine"
"ハピネス村" -> "Happiness Village"
"ナメクジタワー" -> "Slugs Tower"
"ミダス村" -> "Midas Village"
"エンリカ" -> "Enrica"
"イリアスポート" -> "Ilias port"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"ナタリアポート" -> "Natalia port"
"聖山アモス" -> "Seiyama Amos"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"南の海底神殿" -> "Temple at the bottom of the south"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"マールポート" -> "Marlport"
"魔導の塔" -> "Magical Tower"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"グランドール" -> "Grand Doll"
"海軍本部" -> "Navy headquarters"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"プランセクト村" -> "Plan Sakt village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"サキュバスの村" -> "Succubus village"
"ゴルドポート" -> "Gordport"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"妖精の島" -> "Fairy Island"
"レミナ（異世界）" -> "Remina (another world)"
"ヘルゴンドの洞窟（異世界）" -> "Helgond's cave (another world)"
"レミナ（異世界）" -> "Remina (another world)"
"魔王城（異世界）" -> "Demon castle (another world)"
"魔王城" -> "Devil's castle"
"ポケット魔王城" -> "Pocket Maiden Castle"
"イリアスヴィル" -> "Iliasville"
"ミトラ封印城" -> "Mitra sealed castle"
"イリアスヴィル" -> "Iliasville"
"イリアスベルク" -> "Iliasberg"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"ハピネス村" -> "Happiness Village"
"メダル女王の城" -> "Queen's Castle"
"イリアスポート" -> "Ilias port"
"エンリカ" -> "Enrica"
"エンリカ" -> "Enrica"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"秘宝の洞窟" -> "Cave of the treasure"
"ナタリアポート" -> "Natalia port"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"求道者の洞窟" -> "Candidor's Cave"
"サバサ" -> "Sabasa"
"管理者の塔" -> "Administrator's tower"
"マールポート" -> "Marlport"
"マール大回廊" -> "Mar Large Corridor"
"グランドール" -> "Grand Doll"
"海軍本部" -> "Navy headquarters"
"グランドノア" -> "Grand Noah"
"ウンディーネの泉" -> "Fountain of Undine"
"プランセクト村" -> "Plan Sakt village"
"ゴルドポート" -> "Gordport"
"グランゴルド" -> "Grangold"
"世界樹" -> "World Tree"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"レミナ（異世界）" -> "Remina (another world)"
"スノウヘブン" -> "Snow Haven"
"ミダス村" -> "Midas Village"
"イリアスポート" -> "Ilias port"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"モンテカルロ" -> "Monte Carlo"
"北のお化け屋敷" -> "North haunted house"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"サルーン" -> "saloon"
"サバサ" -> "Sabasa"
"大海賊の洞窟" -> "Great Pirate's Cave"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"オロチの洞" -> "Orochi no dong"
"ゴルド砦" -> "Fort Gordes"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"幽霊船" -> "A ghost ship"
"妖精の島" -> "Fairy Island"
"レミナ（異世界）" -> "Remina (another world)"
"スノウヘブン" -> "Snow Haven"
"ポケット魔王城" -> "Pocket Maiden Castle"
"魔王城" -> "Devil's castle"
"管理者の塔" -> "Administrator's tower"
"マールポート" -> "Marlport"
"グランドール" -> "Grand Doll"
"海軍本部" -> "Navy headquarters"
"カジノ景品（グランドール）" -> "Casino prize (Grand D'Or)"
"ヤマタイ村" -> "Yamathai Village"
"プランセクト村" -> "Plan Sakt village"
"ヤマタイ村" -> "Yamathai Village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"魔王城（異世界）" -> "Demon castle (another world)"
"タラスの丘" -> "Taras Hill"
"イリアスヴィル" -> "Iliasville"
"イリアスベルク" -> "Iliasberg"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"ミダス村" -> "Midas Village"
"ミダス廃鉱" -> "Midas Offshore"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"グランドノア" -> "Grand Noah"
"大海賊の洞窟" -> "Great Pirate's Cave"
"グランドノア" -> "Grand Noah"
"プランセクト村" -> "Plan Sakt village"
"進軍の丘" -> "Advancing Hill"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"ライラの大滝" -> "Lila's Otaki"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"レミナ（異世界）" -> "Remina (another world)"
"ヘルゴンドの洞窟（異世界）" -> "Helgond's cave (another world)"
"スノウヘブン" -> "Snow Haven"
"ポケット魔王城" -> "Pocket Maiden Castle"
"グランゴルド" -> "Grangold"
"ヤマタイ村" -> "Yamathai Village"
"魔王城（異世界）" -> "Demon castle (another world)"
"魔王城" -> "Devil's castle"
"スノウヘブン" -> "Snow Haven"
"雪越えの洞窟" -> "Cave over the snow"
"メダル女王の城" -> "Queen's Castle"
"タラスの丘" -> "Taras Hill"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ポルノフ" -> "Pornov"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"イリアスポート" -> "Ilias port"
"イリアスポート" -> "Ilias port"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"グランドール" -> "Grand Doll"
"海軍本部" -> "Navy headquarters"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"ヤマタイ村" -> "Yamathai Village"
"レミナ（異世界）" -> "Remina (another world)"
"ミダス村" -> "Midas Village"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"タルタロス（イリアス大陸東）" -> "Tartarus (Elias continent east)"
"ナタリアポート" -> "Natalia port"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"サン・イリア" -> "Saint Ilia"
"北のお化け屋敷" -> "North haunted house"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"サバサ" -> "Sabasa"
"サルーンの丘" -> "Saloon Hill"
"グランドール" -> "Grand Doll"
"サルーン" -> "saloon"
"管理者の塔" -> "Administrator's tower"
"大海賊の洞窟" -> "Great Pirate's Cave"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"プランセクト村" -> "Plan Sakt village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"グランゴルド" -> "Grangold"
"ヤマタイ村" -> "Yamathai Village"
"妖精の島" -> "Fairy Island"
"レミナ（異世界）" -> "Remina (another world)"
"スノウヘブン" -> "Snow Haven"
"タルタロス（ゴルド大陸西）" -> "Tartarus (Gordian continent West)"
"スノウヘブン" -> "Snow Haven"
"ポケット魔王城" -> "Pocket Maiden Castle"
"魔王城" -> "Devil's castle"
"ヤマタイ村" -> "Yamathai Village"
"ヤマタイへの洞窟" -> "Cave to Yamathi"
"オロチの洞" -> "Orochi no dong"
"プランセクト村" -> "Plan Sakt village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"ゴルドポート" -> "Gordport"
"サキュバスの村" -> "Succubus village"
"ゴルド火山洞窟" -> "Gordo Volcano Cave"
"幽霊船" -> "A ghost ship"
"滅びの地" -> "The land of destruction"
"妖精の島" -> "Fairy Island"
"世界樹" -> "World Tree"
"ライラの大滝" -> "Lila's Otaki"
"ヤマタイ村" -> "Yamathai Village"
"魔王城（異世界）" -> "Demon castle (another world)"
"イリアス神殿跡" -> "Temple of Ilias"
"魔王城" -> "Devil's castle"
"ヤマタイ村" -> "Yamathai Village"
"ヤマタイへの洞窟" -> "Cave to Yamathi"
"プランセクト村" -> "Plan Sakt village"
"ミノタウロスの迷宮" -> "Labyrinth of Minotaur"
"リマ村廃墟" -> "Lima village ruins"
"グランゴルド" -> "Grangold"
"溶岩鉱窟" -> "Lava cave"
"ゴルドポート" -> "Gordport"
"ヤマタイ村" -> "Yamathai Village"
"蓬莱山" -> "Horishai"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"レミナ（異世界）" -> "Remina (another world)"
"スノウヘブン" -> "Snow Haven"
"イリアスヴィル" -> "Iliasville"
"イリアス神殿跡" -> "Temple of Ilias"
"ポケット魔王城" -> "Pocket Maiden Castle"
"タラスの丘" -> "Taras Hill"
"イリアスヴィル" -> "Iliasville"
"イリアスベルク" -> "Iliasberg"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"ミダス村" -> "Midas Village"
"エンリカ" -> "Enrica"
"エンリカ" -> "Enrica"
"エンリカ" -> "Enrica"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"ナタリア海岸" -> "Natalia Coast"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"精霊の森" -> "Spirit forest"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"ピラミッド" -> "pyramid"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"グランドノア" -> "Grand Noah"
"サファル砂漠遺跡" -> "Safar desert ruins"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"プランセクト村" -> "Plan Sakt village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"吸血鬼の魔城" -> "Vampire's Devil"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"スノウヘブン" -> "Snow Haven"
"レミナ（異世界）" -> "Remina (another world)"
"ポケット魔王城" -> "Pocket Maiden Castle"
"魔王城" -> "Devil's castle"
"イリアスベルク" -> "Iliasberg"
"イリナ山地北の洞窟" -> "Cave in the north of Irina mountains"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"ミダス村" -> "Midas Village"
"イリアスポート" -> "Ilias port"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"グランドノア" -> "Grand Noah"
"海軍本部" -> "Navy headquarters"
"グランドノア" -> "Grand Noah"
"オロチの洞" -> "Orochi no dong"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"溶岩鉱窟" -> "Lava cave"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"妖精の島" -> "Fairy Island"
"ポケット魔王城" -> "Pocket Maiden Castle"
"魔王城" -> "Devil's castle"
"イリアスヴィル" -> "Iliasville"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"ハーピーの塔" -> "Tower of Harpy"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"ミダス村" -> "Midas Village"
"エンリカ" -> "Enrica"
"ナタリアポート" -> "Natalia port"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"北のお化け屋敷" -> "North haunted house"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"グランドール" -> "Grand Doll"
"ピラミッド" -> "pyramid"
"サバサ" -> "Sabasa"
"サルーン" -> "saloon"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"化石鉱山" -> "Fossil mine"
"ヤマタイ村" -> "Yamathai Village"
"プランセクト村" -> "Plan Sakt village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"人形遣いの塔" -> "Tower of puppeteers"
"ヤマタイ村" -> "Yamathai Village"
"レミナ（異世界）" -> "Remina (another world)"
"スノウヘブン" -> "Snow Haven"
"ポケット魔王城" -> "Pocket Maiden Castle"
"イリアスヴィル" -> "Iliasville"
"イリアスベルク" -> "Iliasberg"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"ミダス廃鉱" -> "Midas Offshore"
"ミダス村" -> "Midas Village"
"エンリカ" -> "Enrica"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"古代神殿跡" -> "Ancient temple ruins"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"サバサ" -> "Sabasa"
"ピラミッド" -> "pyramid"
"サルーン" -> "saloon"
"サファル砂漠遺跡" -> "Safar desert ruins"
"海軍本部" -> "Navy headquarters"
"サバサ" -> "Sabasa"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"グランドノア" -> "Grand Noah"
"ゴルドポート" -> "Gordport"
"幽霊船" -> "A ghost ship"
"ゴルドポート" -> "Gordport"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"レミナ（異世界）" -> "Remina (another world)"
"スノウヘブン" -> "Snow Haven"
"ポケット魔王城" -> "Pocket Maiden Castle"
"魔王城" -> "Devil's castle"
"イリアスベルク" -> "Iliasberg"
"イリナ山地北の洞窟" -> "Cave in the north of Irina mountains"
"ポルノフ" -> "Pornov"
"イリアスポート" -> "Ilias port"
"ポルノフ" -> "Pornov"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"ミダス村" -> "Midas Village"
"秘宝の洞窟" -> "Cave of the treasure"
"サン・イリア" -> "Saint Ilia"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
"サルーン" -> "saloon"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"グランドノア" -> "Grand Noah"
"ヤマタイ村" -> "Yamathai Village"
"プランセクト村" -> "Plan Sakt village"
"グランゴルド" -> "Grangold"
"ゴルドポート" -> "Gordport"
"ゴルドポート" -> "Gordport"
"忘れられし塔" -> "Forgotten tower"
"妖精の島" -> "Fairy Island"
"妖精の島" -> "Fairy Island"
"ヤマタイ村" -> "Yamathai Village"
"レミナ（異世界）" -> "Remina (another world)"
"ポケット魔王城" -> "Pocket Maiden Castle"
"レミナ研究所" -> "Remina Laboratories"
"イリアスヴィル" -> "Iliasville"
"イリアスベルク" -> "Iliasberg"
"ポルノフ" -> "Pornov"
"ハピネス村" -> "Happiness Village"
"ハピネス村" -> "Happiness Village"
"ハーピーの塔" -> "Tower of Harpy"
"ミダス村" -> "Midas Village"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"ミダス村" -> "Midas Village"
"エンリカ" -> "Enrica"
"イリアスポート" -> "Ilias port"
"ナタリアポート" -> "Natalia port"
"秘宝の洞窟" -> "Cave of the treasure"
"サン・イリア" -> "Saint Ilia"
"北のお化け屋敷" -> "North haunted house"
"サン・イリア" -> "Saint Ilia"
"モンテカルロ" -> "Monte Carlo"
