"スキル１番は［攻撃］コマンドを選択したときに使用されます。" -> "Skill number 1 is used when you select the Attack command."
"技名非表示" -> "Technique name hidden"
"一人旅未使用" -> "Uninhabited unused"
"スキル２番は［防御］コマンドを選択したときに使用されます。" -> "Skill number 2 is used when you select the Defense command."
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"技名非表示" -> "Technique name hidden"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"技名非表示" -> "Technique name hidden"
"還元 50" -> "Reduction 50"
"還元 20" -> "Reduction 20"
"自己付与 ステート" -> "Self-granting state"
"自己付与 ステート" -> "Self-granting state"
"仲間想い 150" -> "Companion thought 150"
"攻撃属性 1" -> "Attack Attribute 1"
"消費HP 2" -> "Consumption HP 2"
"　Target" -> "Target"
"技名非表示" -> "Technique name hidden"
"スティール付与 1" -> "Steel granting 1"
"技名非表示" -> "Technique name hidden"
"敵味方ランダム" -> "Enemy ally or random"
"スキル命中率" -> "Skill Accuracy"
"順番発動 3182" -> "Sequential invocation 3182"
"攻撃属性 9" -> "Attack Attribute 9"
"魅惑のエロス" -> "Enchanted Eros"
"のセクシーな姿が敵を魅了する！" -> "Sexy figure attracts enemies!"
"必殺技 3" -> "Its Special Move 3"
"自動戦闘不可" -> "No automatic combat"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"スキル命中率" -> "Skill Accuracy"
"技名非表示" -> "Technique name hidden"
"スキル命中率" -> "Skill Accuracy"
"ステート限定付与 対象" -> "State restricted object"
"付与" -> "Grant"
"耐性無視" -> "Ignore tolerance"
"ステート限定付与 対象" -> "State restricted object"
"付与" -> "Grant"
"耐性無視" -> "Ignore tolerance"
"ステート限定付与 対象" -> "State restricted object"
"付与" -> "Grant"
"耐性無視" -> "Ignore tolerance"
"ステート限定付与 対象" -> "State restricted object"
"付与" -> "Grant"
"耐性無視" -> "Ignore tolerance"
"ステート限定付与 対象" -> "State restricted object"
"付与" -> "Grant"
"耐性無視" -> "Ignore tolerance"
"捕食技 起動ステート" -> "Predatory technique activation state"
"吸収" -> "absorption"
"捕食技 起動ステート" -> "Predatory technique activation state"
"吸収" -> "absorption"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中率" -> "Skill Accuracy"
"攻撃属性 1" -> "Attack Attribute 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中率" -> "Skill Accuracy"
"攻撃属性 1" -> "Attack Attribute 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中率" -> "Skill Accuracy"
"攻撃属性 1" -> "Attack Attribute 1"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中率" -> "Skill Accuracy"
"攻撃属性 1" -> "Attack Attribute 1"
"スキル命中率" -> "Skill Accuracy"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中率" -> "Skill Accuracy"
"敵ランダム" -> "Enemy random"
"重複限界" -> "Overlap limit"
"スキル命中率" -> "Skill Accuracy"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"スキル命中率" -> "Skill Accuracy"
"自己解除 ステート" -> "Self-releasing state"
"自己解除 ステート" -> "Self-releasing state"
"武器倍率 11" -> "Weapon multiplier 11"
