"♪" -> "♪"
"混沌の迷宮・森" -> "Chaotic labyrinth and forest"
"スズメ娘" -> "Sparrow girl"
"ミツバチ娘" -> "Bee girl"
"ハーピー" -> "Harpie"
"画像非固定" -> "Image unfixed"
"ハーピーツインズ" -> "Hervey Twins"
"画像非固定" -> "Image unfixed"
"ジャックオーランタン" -> "Jack O Lantern"
"ダークエルフ" -> "Dark Elf"
"ダークエルフ" -> "Dark Elf"
"ダークエルフ" -> "Dark Elf"
"ダークエルフ" -> "Dark Elf"
"フェアリー" -> "Fairy"
"ラフレシア娘" -> "Rafflesia girl"
"セントール" -> "Centaur"
"スイカ娘" -> "Watermelon girl"
"スイカ娘" -> "Watermelon girl"
"ウツボカズラ娘" -> "Ugsukobazura girl"
"エルフ" -> "Elf"
"エルフ" -> "Elf"
"ブラウニーズ" -> "Brownies"
"ツインズフェアリー" -> "Twins Fairy"
"エルフ" -> "Elf"
"ツインズフェアリー" -> "Twins Fairy"
"ケンタウロス娘" -> "Centaur 's girl"
"画像非固定" -> "Image unfixed"
"アルラウネ" -> "Arlaune"
"画像非固定" -> "Image unfixed"
"ケンタウロス娘" -> "Centaur 's girl"
"アルラウネ" -> "Arlaune"
"画像非固定" -> "Image unfixed"
"モス娘" -> "Moss girl"
"モスキート娘" -> "Mosquito girl"
"イモムシ娘" -> "Caterpillar girl"
"スズメバチ娘" -> "Wasps girl"
"画像非固定" -> "Image unfixed"
"カマキリ娘" -> "Mantis girls"
"カイコ娘" -> "Silkworm daughter"
"カマキリ娘" -> "Mantis girls"
"カイコ娘" -> "Silkworm daughter"
"アルラ・アルム" -> "Arla Almu"
"アルラ・ルーティー" -> "Arla Ruthi"
"アルラ・ボア" -> "Arla Boa"
"アルラ・パラソル" -> "Arla umbrella"
"アルラ・プリズン" -> "Arla Prison"
"アルラ・マッシュ" -> "Arla Mash"
"トリックフェアリー" -> "Trick fairy"
"アマゾネスエルフ" -> "Amazones Elf"
"トリックフェアリー" -> "Trick fairy"
"アマゾネスエルフ" -> "Amazones Elf"
"カーバンクル娘" -> "Carbuncle girl"
"トリックフェアリー" -> "Trick fairy"
"カーバンクル娘" -> "Carbuncle girl"
"アマゾネスエルフ" -> "Amazones Elf"
"カーバンクル娘" -> "Carbuncle girl"
"トリックフェアリー" -> "Trick fairy"
"アマゾネスエルフ" -> "Amazones Elf"
"カーバンクル娘" -> "Carbuncle girl"
"ジャイガンテック娘" -> "Mr. Jaigantech girl"
"フォレストアルラウネ" -> "Forest Arraraune"
"フォレストドリアード" -> "Forest Dryad"
"フォレストアルラウネ" -> "Forest Arraraune"
"フォレストドリアード" -> "Forest Dryad"
"ワルラウネ" -> "Wallaune"
"画像非固定" -> "Image unfixed"
"ドリアード" -> "Driad"
"ドリアード" -> "Driad"
"ドリアード" -> "Driad"
"ドリアード" -> "Driad"
"混沌の迷宮・丘" -> "Chaotic labyrinth / hill"
"犬娘" -> "Dog girl"
"マンドラゴラ娘" -> "Mandragora girl"
"犬娘" -> "Dog girl"
"マンドラゴラ娘" -> "Mandragora girl"
"ネズミ娘" -> "Mouse girl"
"狼娘" -> "Wolf girl"
